pub,mrel_mrkr_1_zdb_id,mrel_mrkr_2_zdb_id,mrel_type
ZDB-PUB-091221-17,ZDB-TGCONSTRCT-110126-1,ZDB-GENE-030131-7647,coding sequence of
ZDB-PUB-091221-17,ZDB-TGCONSTRCT-110126-1,ZDB-EFG-070117-3,coding sequence of
ZDB-PUB-091221-17,ZDB-TGCONSTRCT-110126-1,ZDB-GENE-030411-6,promoter of
ZDB-PUB-100929-12,ZDB-TGCONSTRCT-110131-44,ZDB-GENE-050622-14,promoter of
ZDB-PUB-100929-12,ZDB-TGCONSTRCT-110131-44,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-100601-6,ZDB-TGCONSTRCT-110201-1,ZDB-EFG-080910-1,coding sequence of
ZDB-PUB-100601-6,ZDB-TGCONSTRCT-110201-1,ZDB-GENE-050321-1,promoter of
ZDB-PUB-101222-1,ZDB-TGCONSTRCT-110304-1,ZDB-GENE-020806-4,promoter of
ZDB-PUB-101222-1,ZDB-TGCONSTRCT-110304-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-110329-1,ZDB-GENE-000329-3,promoter of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-110329-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-110520-2,ZDB-EFG-070117-3,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-110520-2,ZDB-GENE-980526-112,promoter of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-110520-2,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-110325-2,ZDB-TGCONSTRCT-110817-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-110325-2,ZDB-TGCONSTRCT-110817-3,ZDB-EFG-070117-3,coding sequence of
ZDB-PUB-110914-4,ZDB-TGCONSTRCT-110921-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-110914-4,ZDB-TGCONSTRCT-110921-1,ZDB-EFG-080516-1,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-3,ZDB-GENE-040426-987,promoter of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-3,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-3,ZDB-GENE-031118-30,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-4,ZDB-GENE-040426-987,promoter of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-4,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-4,ZDB-GENE-040426-1352,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-5,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-5,ZDB-GENE-041114-53,coding sequence of
ZDB-PUB-110121-1,ZDB-TGCONSTRCT-111017-5,ZDB-GENE-040426-987,promoter of
ZDB-PUB-110706-12,ZDB-TGCONSTRCT-111205-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-110110-40,ZDB-TGCONSTRCT-111207-2,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-110110-40,ZDB-TGCONSTRCT-111207-2,ZDB-GENE-000329-3,promoter of
ZDB-PUB-110110-40,ZDB-TGCONSTRCT-111207-2,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-110907-11,ZDB-TGCONSTRCT-120103-2,ZDB-GENE-030128-2,promoter of
ZDB-PUB-110907-11,ZDB-TGCONSTRCT-120103-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-120106-15,ZDB-TGCONSTRCT-120208-1,ZDB-GENE-980526-112,promoter of
ZDB-PUB-120106-15,ZDB-TGCONSTRCT-120208-1,ZDB-EFG-080131-2,coding sequence of
ZDB-PUB-120111-12,ZDB-TGCONSTRCT-120229-1,ZDB-GENE-050107-3,promoter of
ZDB-PUB-120111-12,ZDB-TGCONSTRCT-120229-1,ZDB-EFG-110824-4,coding sequence of
ZDB-PUB-051207-15,ZDB-TGCONSTRCT-070117-165,ZDB-GENE-020712-1,coding sequence of
ZDB-PUB-040706-3,ZDB-TGCONSTRCT-070117-136,ZDB-GENE-980526-112,promoter of
ZDB-PUB-040706-3,ZDB-TGCONSTRCT-070117-136,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-040706-3,ZDB-TGCONSTRCT-070117-136,ZDB-GENE-050321-1,promoter of
ZDB-PUB-040706-3,ZDB-TGCONSTRCT-070117-136,ZDB-GENE-030131-4663,coding sequence of
ZDB-PUB-121030-16,ZDB-TGCONSTRCT-121204-1,ZDB-GENE-980526-112,promoter of
ZDB-PUB-121030-16,ZDB-TGCONSTRCT-121204-1,ZDB-EFG-080516-1,coding sequence of
ZDB-PUB-130221-5,ZDB-TGCONSTRCT-130327-1,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-130221-5,ZDB-TGCONSTRCT-130327-1,ZDB-GENE-010614-1,promoter of
ZDB-PUB-130221-5,ZDB-TGCONSTRCT-130327-1,ZDB-GENE-020508-1,promoter of
ZDB-PUB-130221-5,ZDB-TGCONSTRCT-130327-1,ZDB-EFG-070925-1,coding sequence of
ZDB-PUB-130221-5,ZDB-TGCONSTRCT-130327-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-111205-15,ZDB-TGCONSTRCT-130404-1,ZDB-GENE-050622-14,promoter of
ZDB-PUB-111205-15,ZDB-TGCONSTRCT-130404-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-111205-15,ZDB-TGCONSTRCT-130404-2,ZDB-GENE-050622-14,promoter of
ZDB-PUB-111205-15,ZDB-TGCONSTRCT-130404-2,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-130605-18,ZDB-TGCONSTRCT-130717-1,ZDB-GENE-050622-14,promoter of
