Gene stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
ENSDARG00000020981		X1WD34
ENSDARG00000056092		F1QSG2
ENSDARG00000056009		F1QSK4
ENSDARG00000074137		X1WEM6
ENSDARG00000070145		F1R1B1
ENSDARG00000104256		A0A0R4IPQ5
ENSDARG00000020981		A0A0R4IX57
ENSDARG00000087349	Q66IF1	
ENSDARG00000074137		F1QHV8
ENSDARG00000035389		A0A0R4IL99
ENSDARG00000100006		A0A0R4IIV6
ENSDARG00000087349		X1WBZ6
ENSDARG00000059682		E7F4C3
ENSDARG00000100006		A0A0R4IKX2
ENSDARG00000087349	Q66IF1	
ENSDARG00000055983		A3KQH5
ENSDARG00000009346		E7FDQ5
ENSDARG00000007739		A0A0R4IJ10
ENSDARG00000087349		A0A0R4IK00
ENSDARG00000003069		Q5TZA6
ENSDARG00000055983		F1Q5H8
ENSDARG00000001721		F1QH90
ENSDARG00000003069		Q5TZA6
ENSDARG00000076328		B0S5M3
ENSDARG00000009346		F1QIJ0
ENSDARG00000001721		E9QJK8
ENSDARG00000010432		Q6IQU8
ENSDARG00000001721		E9QJQ8
ENSDARG00000042032	P56224	
ENSDARG00000095268		E9QH19
ENSDARG00000042032	P56224	
ENSDARG00000003281		A2BIG3
ENSDARG00000062537		E9QD72
ENSDARG00000105249		A0A0R4ID79
ENSDARG00000102225		A0A0R4IZD9
ENSDARG00000042032	P56224	
ENSDARG00000102038		A0A0R4IMH6
ENSDARG00000103118		A0A0R4ITL7
ENSDARG00000006307		A5WUR8
ENSDARG00000092979		A2CE48
ENSDARG00000024904	Q8JGS1	
ENSDARG00000103118		A0A0R4IBF2
ENSDARG00000092979		X1WFJ1
ENSDARG00000096534		R4GEC4
ENSDARG00000092029		Q5RH74
ENSDARG00000096534		A0A0R4IHM9
ENSDARG00000101828		F8W5Z8
ENSDARG00000076969		B0S6R6
ENSDARG00000071331		Q5RGQ4
ENSDARG00000058020		E9QHZ6
ENSDARG00000076969		F1QT90
ENSDARG00000045753		F1R0Y9
ENSDARG00000101127		Q7ZUD8
ENSDARG00000058020		E9QHZ6
ENSDARG00000096650		R4GF22
ENSDARG00000021905		F1Q4W3
ENSDARG00000103516		A0A0R4IMX2
ENSDARG00000101828		E7F524
ENSDARG00000045414		A3KP14
ENSDARG00000101828		A0A0N4STS8
ENSDARG00000062314		A2CE86
ENSDARG00000071331		A0A0R4IA72
ENSDARG00000045753		A0A0M3HEL6
ENSDARG00000036051		Q1LWG1
ENSDARG00000019332		Q6PBK0
ENSDARG00000027620		A2BGP6
ENSDARG00000094157		R4GE40
ENSDARG00000036051		Q1LWG1
ENSDARG00000007976		F1R3J4
ENSDARG00000103516		A0A0R4IZC7
ENSDARG00000053475	Q90YJ2	
ENSDARG00000019332		E9QEE8
ENSDARG00000094157		A0A0R4IUJ1
ENSDARG00000103516		A0A0R4IAZ9
ENSDARG00000007976		F1REG1
ENSDARG00000008396		B0S6R8
ENSDARG00000043684		Q5RGA7
ENSDARG00000096433		E7FDG0
ENSDARG00000021905		F1QLZ4
ENSDARG00000096449		F6NXM8
ENSDARG00000008396		A0A0R4IAD1
ENSDARG00000007976		K7DYE6
ENSDARG00000096449		L7N0X0
ENSDARG00000007976		A0A0R4IAU0
ENSDARG00000043684		E9QE61
ENSDARG00000102338	A3KPW7	
ENSDARG00000053475		A0A0R4IAT7
ENSDARG00000019332		F1RBF7
ENSDARG00000039255	Q6NYM1	
ENSDARG00000053475		A0A0R4ILZ6
ENSDARG00000100464		F6P4J8
ENSDARG00000100019		A0A0R4ILK3
ENSDARG00000037073		E7F214
ENSDARG00000043684		A0A0R4IHR0
ENSDARG00000034940		C5H4R2
ENSDARG00000039255		E9QFL2
ENSDARG00000037073		A0A0R4IEF3
ENSDARG00000078065		F1QTA4
ENSDARG00000100019		A0A0R4IIN6
ENSDARG00000078065		F1R9D1
ENSDARG00000039255	Q6NYM1	
ENSDARG00000074850		A8WHA9
ENSDARG00000090371		A0A140LH92
ENSDARG00000100019		A0A0R4IMZ9
ENSDARG00000090371		E7EZC5
ENSDARG00000074850		F1Q624
ENSDARG00000043542		Q1LY31
ENSDARG00000039255	Q6NYM1	
ENSDARG00000092209		B8JIW2
ENSDARG00000100464		A0A0R4INX7
ENSDARG00000039255	Q6NYM1	
ENSDARG00000001891		F1R3B7
ENSDARG00000061282		X1WHY3
ENSDARG00000074866		
ENSDARG00000043542		F1QL38
ENSDARG00000054619		A2BHG4
ENSDARG00000043542		Q1LY30
ENSDARG00000098979		A0A0R4IPZ2
ENSDARG00000067985		B0S6R7
ENSDARG00000063451		F8W3F2
ENSDARG00000067985		A0A0R4IKX5
ENSDARG00000063451		F1RBY8
ENSDARG00000076773		B8JKF3
ENSDARG00000013860		A1L293
ENSDARG00000074866		
ENSDARG00000074727		A4IG47
ENSDARG00000028096		F1Q6Q0
ENSDARG00000061282		X1WH14
ENSDARG00000043687		Q5RGA5
ENSDARG00000074866		F1RCZ5
ENSDARG00000061282		E7EXW8
ENSDARG00000028096		X1WFL1
ENSDARG00000099789		A0A0R4IPZ7
ENSDARG00000070780		Q2VT45
ENSDARG00000043687		Q5RGA5
ENSDARG00000069912		Q6P038
ENSDARG00000052435		R4GE60
ENSDARG00000034420		Q503Z8
ENSDARG00000013931	Q7T3B0	
ENSDARG00000036775		F1QCP5
ENSDARG00000013860		E9QBA4
ENSDARG00000052435		E7F0P6
ENSDARG00000079371		F1QK88
ENSDARG00000054619		B6IDE3
ENSDARG00000040286		I3IS85
ENSDARG00000056725		F1QGP8
ENSDARG00000095304		A0A0R4IS43
ENSDARG00000091287		X1WBX6
ENSDARG00000079371		F1QK88
ENSDARG00000039466		B8A5E1
ENSDARG00000054619		F1Q633
ENSDARG00000091287		F1R0D8
ENSDARG00000095304		A0A0R4IS43
ENSDARG00000009653		I3IT23
ENSDARG00000102951		A0A0R4IDW8
ENSDARG00000054619		A0A0R4IQJ3
ENSDARG00000039466		F8W523
ENSDARG00000034528		Q568T5
ENSDARG00000056725		E7EZP6
ENSDARG00000009653		G1K2G2
ENSDARG00000056228		B0V1J1
ENSDARG00000056932		F1QQ02
ENSDARG00000039466		B8A5E1
ENSDARG00000056725		
ENSDARG00000067507		Q3L1G3
ENSDARG00000042905	Q6PC69	
ENSDARG00000040286		Q7T3A5
ENSDARG00000067507		E7FCU9
ENSDARG00000012513		Q803J6
ENSDARG00000056725		F1QSV7
ENSDARG00000100747		A0A0R4IC16
ENSDARG00000011764		Q5TZE9
ENSDARG00000043865		E7FC78
ENSDARG00000094557		E9QCY4
ENSDARG00000012513		E9QBZ6
ENSDARG00000102638		F1R784
ENSDARG00000102638		Q1L9A6
ENSDARG00000102638		K7DYG7
ENSDARG00000011764		A0A0R4II49
ENSDARG00000062134		E9QGU5
ENSDARG00000070658		Q1LWQ5
ENSDARG00000014914		F1R902
ENSDARG00000040851		F6NJM7
ENSDARG00000043865		E7FC78
ENSDARG00000040851		F1QP36
ENSDARG00000022176		F1Q8Y0
ENSDARG00000070658		Q1LWQ5
ENSDARG00000011764		A0A0R4IKN4
ENSDARG00000054821		Q6DH61
ENSDARG00000004877		A0A0R4IQJ2
ENSDARG00000062147		E9QHD9
ENSDARG00000042905		E9QFD9
ENSDARG00000062134		A8KB17
ENSDARG00000022176		Q568D3
ENSDARG00000062134		E7F8K2
ENSDARG00000014914		F1QCL4
ENSDARG00000079869		B0S6K8
ENSDARG00000100722		A0A0R4IT92
ENSDARG00000086960		R4GE96
ENSDARG00000079869		B0S6K8
ENSDARG00000001870		B8JKS7
ENSDARG00000086960		R4GDV5
ENSDARG00000086960		F1R466
ENSDARG00000086960		A0A0R4IU01
ENSDARG00000105581		
ENSDARG00000003208	Q5U3W1	
ENSDARG00000075858		E7FA63
ENSDARG00000040258		E7F063
ENSDARG00000014914		Q5BKX3
ENSDARG00000090309		F1QTX4
ENSDARG00000052094		A5WUN6
ENSDARG00000098074		A0A0R4IR18
ENSDARG00000090309		A0A140LGQ3
ENSDARG00000010347		B0S7E5
ENSDARG00000033757	Q5RH01	
ENSDARG00000004877		Q5RH75
ENSDARG00000057365		B8JJK4
ENSDARG00000090309		A0A140LFV6
ENSDARG00000014914		E9QB34
ENSDARG00000004877		F1R417
ENSDARG00000057365		B8JJK4
ENSDARG00000059887	B0S6U7	
ENSDARG00000017251		F1QP70
ENSDARG00000052094		A0A0R4IMV9
ENSDARG00000004877		A0A0R4IM22
ENSDARG00000014914		A0A0R4IZ00
ENSDARG00000103027		A0A0R4IJ12
ENSDARG00000043185		E9QEN8
ENSDARG00000057365		A0A1B0GXK5
ENSDARG00000022996		E7FBJ2
ENSDARG00000103703		A0A0R4IHD8
ENSDARG00000102051		A0A0R4IE87
ENSDARG00000003061		F1QM89
ENSDARG00000042874	Q503L1	B2GSF6
ENSDARG00000103703		A0A0R4IN71
ENSDARG00000088263		X1WHA0
ENSDARG00000063690	Q1L911	
ENSDARG00000004877		F1R417
ENSDARG00000102870		A0A0R4IWS8
ENSDARG00000057365		B8JJK2
ENSDARG00000052094		F1QCA7
ENSDARG00000079372		E9QJI4
ENSDARG00000003061		F8W393
ENSDARG00000003061		F1QM89
ENSDARG00000088263		E7F3C5
ENSDARG00000057365		B8JJK4
ENSDARG00000022996		F8W2T6
ENSDARG00000088263		A0A0R4IDI7
ENSDARG00000094249		B8A4A0
ENSDARG00000089183		X1WEB4
ENSDARG00000022895		F1Q4X6
ENSDARG00000025391		Q1JPY6
ENSDARG00000103619		E7F2Z1
ENSDARG00000104581		A0A0R4IBS3
ENSDARG00000103619		A0A0R4IG97
ENSDARG00000013031		F1R6T0
ENSDARG00000103619		E7F2Z1
ENSDARG00000103619		A0A0R4ILR9
ENSDARG00000022895		F8W3Q6
ENSDARG00000045983		A2BGW8
ENSDARG00000013031		
ENSDARG00000086665		A0A0R4IXE5
ENSDARG00000086665		A0A0R4IMI0
ENSDARG00000104581		A0A0R4IPW0
ENSDARG00000013031		
ENSDARG00000045983		A2BGW8
ENSDARG00000005315	Q9IBD0	
ENSDARG00000013031		
ENSDARG00000002601		Q90YX8
ENSDARG00000092721		B8A6E2
ENSDARG00000104233		A0A0R4IND4
ENSDARG00000101353		A0A0R4ITR8
ENSDARG00000104042		A0A0R4ID12
ENSDARG00000092487		A2ARG9
ENSDARG00000010098		F1QEN2
ENSDARG00000101353		A0A0R4IUW6
ENSDARG00000079310		B8K0C9
ENSDARG00000013031		F1QLG2
ENSDARG00000101353		A0A0R4ISX5
ENSDARG00000092487		E9QFF7
ENSDARG00000005315	Q9IBD0	
ENSDARG00000030616		B3DGS0
ENSDARG00000102081		A0A0R4IE40
ENSDARG00000062831		E7F6D0
ENSDARG00000104042		A0A0R4ICJ7
ENSDARG00000005315		E9QEH4
ENSDARG00000079310		F1R7U1
ENSDARG00000026229		A9C3N3
ENSDARG00000005315		E9QIE8
ENSDARG00000087369	E7F5E1	
ENSDARG00000104042		A0A0R4ICJ7
ENSDARG00000027017		Q5RHP3
ENSDARG00000005315		A0A0H2UKD3
ENSDARG00000101385		A0A0R4IBQ7
ENSDARG00000088238		F1QUH6
ENSDARG00000030616		F1QCA6
ENSDARG00000068681		A0FJH7
ENSDARG00000102081		A0A0R4IXQ8
ENSDARG00000027017		X1WEI2
ENSDARG00000088238		X1WHV5
ENSDARG00000033609		Q6NX90
ENSDARG00000092141		B0V158
ENSDARG00000001734		Q6P3J6
ENSDARG00000092141		A0A0R4IF95
ENSDARG00000102081		A0A0R4ILV7
ENSDARG00000032199		Q6V9Y8
ENSDARG00000075614		B3DFS8
ENSDARG00000053386		B8JJR0
ENSDARG00000044299		F1Q5F3
ENSDARG00000101385		A0A0R4ISN0
ENSDARG00000091212		A8E7C4
ENSDARG00000005513	Q8JIU7	B2GPE2
ENSDARG00000032199		F1R0Q4
ENSDARG00000044299		E9QCX6
ENSDARG00000088238		F1QUH6
ENSDARG00000044038		F1QX23
ENSDARG00000075614		E9QH88
ENSDARG00000057037		E9QDN2
ENSDARG00000068681		B0UXH3
ENSDARG00000101385		A0A0R4INL6
ENSDARG00000089042		O73779
ENSDARG00000059903		F1Q6W9
ENSDARG00000044299		E9QIC9
ENSDARG00000091212		B8A5U9
ENSDARG00000075614		E9QDR8
ENSDARG00000057037		F1QFD7
ENSDARG00000075721		E7F6D7
ENSDARG00000068681		F6P010
ENSDARG00000060506		F1R019
ENSDARG00000104531		A0A0R4IVN4
ENSDARG00000077138		B3DIP4
ENSDARG00000045909		F1R831
ENSDARG00000091212		B8A5U9
ENSDARG00000021582		Q7ZUX8
ENSDARG00000045927		F8W4L6
ENSDARG00000005513		E9QCS9
ENSDARG00000095793		F8W4B6
ENSDARG00000091212		E7F1S6
ENSDARG00000077138		X1WCV3
ENSDARG00000004378		Q8AWF1
ENSDARG00000044299		F1QHC4
ENSDARG00000098305		A0A0R4ITY7
ENSDARG00000045909		F1Q5L5
ENSDARG00000024503		F1RBT4
ENSDARG00000035273		F1R794
ENSDARG00000096804		A0A0R4IC23
ENSDARG00000045909		A0A0R4IEN0
ENSDARG00000098305		A0A0R4IK29
ENSDARG00000008849		A8DZA4
ENSDARG00000105124		A0A0R4IB34
ENSDARG00000000779		B3DKI8
ENSDARG00000096804		A0A0R4IJ31
ENSDARG00000035273		F1RD24
ENSDARG00000043388	A3KNS9	
ENSDARG00000105124		A0A0R4IAZ4
ENSDARG00000053386		B8JJR1
ENSDARG00000005513		F1RE85
ENSDARG00000057184		B0V0W9
ENSDARG00000004378		A5WWJ6
ENSDARG00000021582		A0A0R4IND4
ENSDARG00000024503		
ENSDARG00000098305		A0A0R4IGY0
ENSDARG00000053386		A0A0R4IVX2
ENSDARG00000104581		A0A0R4IY33
ENSDARG00000005513		A0A0R4IQN8
ENSDARG00000053386		F1QKH8
ENSDARG00000021582		A0A0R4IND4
ENSDARG00000000779		A0A0R4ITQ6
ENSDARG00000004378		I3IS06
ENSDARG00000036059		F1RA65
ENSDARG00000062478		F1R6D3
ENSDARG00000045814		F1QBE4
ENSDARG00000071877	A8E5C5	
ENSDARG00000105045		A0A0R4IZG7
ENSDARG00000004378		F8W2A7
ENSDARG00000004378		A5WWJ8
ENSDARG00000058924		Q6TGI4
ENSDARG00000035678		Q6AZC6
ENSDARG00000096649		R4GEU5
ENSDARG00000052578		F1Q845
ENSDARG00000071877		A0A0R4IUK3
ENSDARG00000057032		A7MBY9
ENSDARG00000035678		Q1LWW6
ENSDARG00000071001		F6NSK7
ENSDARG00000052578		
ENSDARG00000071001		F1QN58
ENSDARG00000093453		I3ISD8
ENSDARG00000092580		E9QHU1
ENSDARG00000070116		F1R1E1
ENSDARG00000095833		F8W3R9
ENSDARG00000093453		I3ISD8
ENSDARG00000102713		A0A0R4IK57
ENSDARG00000077818		A5D6U9
ENSDARG00000095833		A0A0R4IRF5
ENSDARG00000044102		E7FCM9
ENSDARG00000004280	Q6TGU2	
ENSDARG00000052578		F1QJH7
ENSDARG00000022995		Q7ZTT4
ENSDARG00000004280		I3ISB3
ENSDARG00000079591		E7EZK3
ENSDARG00000054196		
ENSDARG00000039266		F1R4H4
ENSDARG00000022995		F8W3B6
ENSDARG00000054196		E7F3E8
ENSDARG00000040179		B0VJZ9
ENSDARG00000044102		E7FCM9
ENSDARG00000004280		I3ISK9
ENSDARG00000038635	Q566Y8	
ENSDARG00000039272		A5PM88
ENSDARG00000097592		X1WEZ7
ENSDARG00000077818		F1QKE1
ENSDARG00000097592		X1WFS5
ENSDARG00000036060	Q6P0I8	B2GQ67
ENSDARG00000077818		F1RCA4
ENSDARG00000039272		F1QCE2
ENSDARG00000039266		F1RE74
ENSDARG00000078308		F1QU39
ENSDARG00000004280		A0A0R4IMI4
ENSDARG00000101849		Q5TYU5
ENSDARG00000039272		A5PM88
ENSDARG00000079934		A4IG44
ENSDARG00000077818		F1QC20
ENSDARG00000039266		B8A543
ENSDARG00000032221	Q6PEI3	
ENSDARG00000044625		F1QGD0
ENSDARG00000067591		Q6JIZ2
ENSDARG00000034443		Q7ZUB6
ENSDARG00000032221		F1QH18
ENSDARG00000067591		Q6JIZ2
ENSDARG00000007387		F8W548
ENSDARG00000004280		A0A0R4IVE4
ENSDARG00000032221		E9QED4
ENSDARG00000094387		B0S8G2
ENSDARG00000014704		B7ZVE8
ENSDARG00000004280		F1QRY0
ENSDARG00000020964		F1Q9M3
ENSDARG00000014704		F1Q9T5
ENSDARG00000091385		F1Q9F1
ENSDARG00000032221		A0A0R4IFM8
ENSDARG00000055588		A4QNT9
ENSDARG00000002795		Q90ZE3
ENSDARG00000070604		F1QY25
ENSDARG00000104890		A0A0R4IHC4
ENSDARG00000032221		E7F2Y3
ENSDARG00000104890		A0A0R4IMR7
ENSDARG00000007387		F1Q8A2
ENSDARG00000007755		X1WFU6
ENSDARG00000055588		F1QWX2
ENSDARG00000070606		F1QBC9
ENSDARG00000002795		X1WE93
ENSDARG00000018418		F1QGZ1
ENSDARG00000075931		F1RAK0
ENSDARG00000070604		F1QNU2
ENSDARG00000102802		I3IS77
ENSDARG00000007387		B8JIT5
ENSDARG00000104890		A0A0R4IWN4
ENSDARG00000070606		F1QBC9
ENSDARG00000014634		Q1LWH3
ENSDARG00000055588		Q4V9B2
ENSDARG00000002795		Q90ZE3
ENSDARG00000102802		I3IS77
ENSDARG00000075931		F8W5G0
ENSDARG00000063007		E7F064
ENSDARG00000102802		A0A0R4IZU8
ENSDARG00000071673		E7FC05
ENSDARG00000063007		X1WH25
ENSDARG00000069246		A8E7S9
ENSDARG00000055588		A4QNT9
ENSDARG00000042780		E7FBD3
ENSDARG00000075931		F1RAK0
ENSDARG00000007755		E7F786
ENSDARG00000014634		F1QAK2
ENSDARG00000102802		I3IS77
ENSDARG00000075715	A5WVU6	
ENSDARG00000007141		A0A0R4ILA8
ENSDARG00000044760		Q7ZW82
ENSDARG00000071673		A0A0R4IQW5
ENSDARG00000095640		F1QL55
ENSDARG00000059437		B8JMA5
ENSDARG00000095640		A0A0R4IEI3
ENSDARG00000007141		
ENSDARG00000044954		B8A498
ENSDARG00000044760		Q7ZW82
ENSDARG00000071673		F1Q7E4
ENSDARG00000075806		E9QC05
ENSDARG00000071673		A0A0R4IF31
ENSDARG00000041750		Q32PM2
ENSDARG00000071673		A0A0R4IV63
ENSDARG00000000183		Q1MTL1
ENSDARG00000075806		E7FGK4
ENSDARG00000099643		Q5RGC3
ENSDARG00000061458		Q1LWT3
ENSDARG00000007141		F1QUQ7
ENSDARG00000096667		R4GDZ7
ENSDARG00000041750		Q32PM2
ENSDARG00000000183		Q1MTL2
ENSDARG00000071673		A0A0R4IC10
ENSDARG00000061458		A0A0R4IK67
ENSDARG00000044954		B8A498
ENSDARG00000030239		F1QA96
ENSDARG00000096667		R4GE89
ENSDARG00000000183		F1QFY3
ENSDARG00000035514		A3KQJ0
ENSDARG00000061472		E7F5W0
ENSDARG00000076292		E9QDB1
ENSDARG00000096667		R4GDZ7
ENSDARG00000076292		E7FH66
ENSDARG00000040374		B0V2V4
ENSDARG00000061472		F8W624
ENSDARG00000061472		E7F5W0
ENSDARG00000061458		F1RBG5
ENSDARG00000096667		R4GE89
ENSDARG00000035514		F1QDC4
ENSDARG00000077537		B3DHE6
ENSDARG00000056583		Q1LWG2
ENSDARG00000041350		A9C3P2
ENSDARG00000056583		I3ISK7
ENSDARG00000004296		A7E2Q2
ENSDARG00000068126		A8E7F8
ENSDARG00000102832		A0A0R4IGK1
ENSDARG00000076552		F1QXP1
ENSDARG00000077537		
ENSDARG00000041530		Q7ZVQ9
ENSDARG00000076552		E9QCZ5
ENSDARG00000045706	Q6GMK6	
ENSDARG00000102611		A0A0R4IJ58
ENSDARG00000037245		R4GEK9
ENSDARG00000102832		A0A0R4IQQ6
ENSDARG00000102832		A0A0R4I9P1
ENSDARG00000102611		A0A0R4II32
ENSDARG00000018553		B0R1C5
ENSDARG00000023712	Q6NSN2	
ENSDARG00000018553		F1R4B9
ENSDARG00000041530		Q6TLD7
ENSDARG00000021896		F1QYT8
ENSDARG00000002230		B0S6H6
ENSDARG00000070028	Q502G2	
ENSDARG00000041530		B0V156
ENSDARG00000006545		Q6DHI8
ENSDARG00000037245		F1Q8W7
ENSDARG00000006545		E9QES3
ENSDARG00000086117		F6N9G2
ENSDARG00000041530		F1R6Z6
ENSDARG00000070028		E9QDA9
ENSDARG00000002230		B0S6H7
ENSDARG00000100072		B0JZJ6
ENSDARG00000076179		X1WDQ1
ENSDARG00000006545		Q6DHI8
ENSDARG00000029600	Q6NWH1	
ENSDARG00000002230		F1RDG3
ENSDARG00000070028		E9QIG2
ENSDARG00000076179		E7FDB4
ENSDARG00000100072		A0A0R4IVV6
ENSDARG00000061762		X1WC98
ENSDARG00000060601	Q08BU8	
ENSDARG00000055136		F1QL23
ENSDARG00000093165		H0WF13
ENSDARG00000100072		B7ZVH3
ENSDARG00000040907		B0R1C3
ENSDARG00000093165		H0WF13
ENSDARG00000055136		F1QAH4
ENSDARG00000020581		F8W4M0
ENSDARG00000002230		A0A0R4IQZ0
ENSDARG00000025605		B8A4A1
ENSDARG00000039196		B8JKP6
ENSDARG00000011743		E9QI13
ENSDARG00000102184		A0A0R4IHW3
ENSDARG00000061762		X1WI03
ENSDARG00000073802		A0A0R4IFX3
ENSDARG00000078736		F1QW65
ENSDARG00000078736		F1R9U1
ENSDARG00000054968		B8X730
ENSDARG00000039196		B8JKP6
ENSDARG00000102184		H9GYU5
ENSDARG00000075008		X1WFR8
ENSDARG00000074073		E7FFM0
ENSDARG00000102184		A0A140LFN2
ENSDARG00000052450		Q566R8
ENSDARG00000062251	A1A5X2	
ENSDARG00000077119		E9QD33
ENSDARG00000102184		A0A0R4IZE1
ENSDARG00000069216		Q14TH1
ENSDARG00000052450		Q566R8
ENSDARG00000102184	Q804S5	
ENSDARG00000089227		E7F0Y9
ENSDARG00000073802		E7EZI3
ENSDARG00000094385		F1RE51
ENSDARG00000089467		E7EZB0
ENSDARG00000102589		A0A0R4IJS5
ENSDARG00000089467		A0A0R4IGJ1
ENSDARG00000056603		E9QGS1
ENSDARG00000030129		I3IT43
ENSDARG00000061762		F1QN09
ENSDARG00000010031		E9QGK0
ENSDARG00000096346		I3ITN0
ENSDARG00000030129		E7EYQ6
ENSDARG00000042069		Q6NYS4
ENSDARG00000042069		E9QEY5
ENSDARG00000069216		B3DHE9
ENSDARG00000102589		A0A0R4IF37
ENSDARG00000058392		E7FEU6
ENSDARG00000042069		Q6NYS4
ENSDARG00000102589		A0A0R4INK5
ENSDARG00000038166		F1QNM5
ENSDARG00000045555	Q5RH02	
ENSDARG00000062089		E7F6G9
ENSDARG00000056603		E7FC25
ENSDARG00000058392		A0A0R4IJH6
ENSDARG00000096234		I3ITI0
ENSDARG00000015674		Q7ZZ01
ENSDARG00000020482		Q802Z5
ENSDARG00000068868		F1Q6E8
ENSDARG00000038166		K7DYH5
ENSDARG00000020482		A2BGU3
ENSDARG00000038166		K7DYH5
ENSDARG00000076776		E7FDF3
ENSDARG00000030478		F1Q7C3
ENSDARG00000062089		E7F6G9
ENSDARG00000020581		F8W4A8
ENSDARG00000068868		F1Q6E8
ENSDARG00000020482		Q802Z5
ENSDARG00000030478		E9QBJ1
ENSDARG00000097371		F1QBP6
ENSDARG00000020581		F1QFI6
ENSDARG00000078817		F1QYK0
ENSDARG00000093563		F1R153
ENSDARG00000068868		E9QB27
ENSDARG00000073876		E7F5T1
ENSDARG00000030478		F1Q7C3
ENSDARG00000075008		B0S5Z9
ENSDARG00000068868		A0A0R4IUR9
ENSDARG00000021987		E9QCV2
ENSDARG00000093563		A0A0R4IJI1
ENSDARG00000036584		Q0P7H3
ENSDARG00000024631		E7F6X9
ENSDARG00000036584		Q6KC02
ENSDARG00000060380	F1RAX8	
ENSDARG00000024631		E7F6X9
ENSDARG00000036584		Q0P7H4
ENSDARG00000073876		A0A0R4IM60
ENSDARG00000036214		Q1LUN6
ENSDARG00000014373		F8W3U8
ENSDARG00000075008		X1WEV2
ENSDARG00000014927		Q5TZ50
ENSDARG00000070170		A8E7Q8
ENSDARG00000036584		E9QJC1
ENSDARG00000075008		X1WF79
ENSDARG00000103858		A0A0R4IGT1
ENSDARG00000059689		B0R0T6
ENSDARG00000014927		U3JA32
ENSDARG00000036214		Q1LUN6
ENSDARG00000019342		Q75XT1
ENSDARG00000078468		B0R1C4
ENSDARG00000036584		E7F8K6
ENSDARG00000036214		I3IT75
ENSDARG00000089885		F1Q846
ENSDARG00000014373		F8W4P0
ENSDARG00000103858		F1R085
ENSDARG00000062198		F8W5U4
ENSDARG00000060199		E9QDQ8
ENSDARG00000102115		A0A0R4IVF6
ENSDARG00000036214		I3ISI8
ENSDARG00000078151		F1R631
ENSDARG00000101543		A0A0R4IF25
ENSDARG00000036214		Q1LUN5
ENSDARG00000014373		Q8QGG8
ENSDARG00000035646		A2ARH0
ENSDARG00000036214		I3ITB8
ENSDARG00000062198		A0A0R4INC9
ENSDARG00000040237		F1Q910
ENSDARG00000062198		E7F5N7
ENSDARG00000037914		F1QLJ5
ENSDARG00000060199		F1R1S5
ENSDARG00000102741	Q6DHL4	
ENSDARG00000040237		F1QE20
ENSDARG00000078888		E7FBD5
ENSDARG00000025233		B8A660
ENSDARG00000040076		A8E7Q7
ENSDARG00000102741	Q6DHL4	
ENSDARG00000014373		F1QES3
ENSDARG00000074210		F1R8Q1
ENSDARG00000062418		Q08CA4
ENSDARG00000102034		F1RBE0
ENSDARG00000035646		F1Q5J0
ENSDARG00000014373		E7EZA2
ENSDARG00000062198		A0A0R4IN23
ENSDARG00000073965		F1RCU6
ENSDARG00000014373		F1R6M3
ENSDARG00000040237		F8W591
ENSDARG00000014373		F1QSP5
ENSDARG00000040237		F1QVZ7
ENSDARG00000074210		A0A0R4IND8
ENSDARG00000078151		F1R276
ENSDARG00000040076		E7F605
ENSDARG00000076308		A9JRU2
ENSDARG00000043527		T1ECT0
ENSDARG00000002300		B0V352
ENSDARG00000039915		F1R2T4
ENSDARG00000040076		A0A0R4IF15
ENSDARG00000074210		A0A0R4IFT9
ENSDARG00000040237		F1QE20
ENSDARG00000043894		F1QR69
ENSDARG00000090686		F1QN80
ENSDARG00000040237		F1Q910
ENSDARG00000039915		F1R2T4
ENSDARG00000043894		F1QCW9
ENSDARG00000074210		A0A0R4IND8
ENSDARG00000043527	Q5TZ07	
ENSDARG00000090686		A0A0R4IRL5
ENSDARG00000062418		F1R9V1
ENSDARG00000028257		E9QC26
ENSDARG00000053535		F6NN15
ENSDARG00000074111		L7N449
ENSDARG00000028257		E7F9D5
ENSDARG00000021987		A0A0R4IJ71
ENSDARG00000103848		A0A0R4IUM3
ENSDARG00000079622		E7F1C5
ENSDARG00000053535		F1R7D1
ENSDARG00000021987		E7F4T0
ENSDARG00000103848		A0A0R4IZI1
ENSDARG00000103848		A0A0R4IUM3
ENSDARG00000025073	Q7ZWJ4	
ENSDARG00000079622		
ENSDARG00000099368		A0A0R4IEB7
ENSDARG00000075492		A0A140LH81
ENSDARG00000075492		F1QTM7
ENSDARG00000023484		Q8QHA4
ENSDARG00000053535		Q0P4F5
ENSDARG00000062943		F1QP29
ENSDARG00000071251		F1Q9G4
ENSDARG00000093811		F1QA50
ENSDARG00000025073		F8W484
ENSDARG00000022509		F1QLR1
ENSDARG00000029170		B7ZDD1
ENSDARG00000053535		A0A0R4IDK7
ENSDARG00000036086		F1QWI2
ENSDARG00000029170		
ENSDARG00000078847		A5WVN8
ENSDARG00000099525		A0A0R4I9J2
ENSDARG00000099368		A0A0R4IUT6
ENSDARG00000070560		F1QYW8
ENSDARG00000099525		A0A0R4IHQ9
ENSDARG00000029170		
ENSDARG00000044528		F1QP47
ENSDARG00000045415		E9QC28
ENSDARG00000098221		Q6KC13
ENSDARG00000029170		E7FC94
