allele,geneid
sa45487,ZDB-GENE-080102-2
sa45491,ZDB-GENE-030131-2426
sa45505,ZDB-GENE-090609-4
sa45507,ZDB-GENE-091204-91
sa45514,ZDB-GENE-110411-244
sa45531,ZDB-GENE-040426-1734
sa45538,ZDB-GENE-100330-1
sa45556,ZDB-GENE-130530-532
sa45559,ZDB-GENE-020424-1
sa45562,ZDB-GENE-100922-36
sa45566,ZDB-GENE-100922-37
sa45590,ZDB-GENE-130410-1
sa45627,ZDB-GENE-050419-93
sa45638,ZDB-GENE-040426-1757
sa45642,ZDB-GENE-030131-82
sa45649,ZDB-GENE-030131-5790
sa45650,ZDB-GENE-030131-5790
sa45658,ZDB-GENE-041111-214
sa45669,ZDB-GENE-060503-194
sa45670,ZDB-GENE-120727-6
sa45679,ZDB-GENE-030131-3606
sa45692,ZDB-GENE-030131-9895
sa45733,ZDB-GENE-091117-1
sa45753,ZDB-GENE-051113-232
sa45803,ZDB-GENE-090312-81
sa45812,ZDB-GENE-120913-4
sa45825,ZDB-GENE-120411-32
sa45842,ZDB-GENE-140106-274
sa45865,ZDB-GENE-111215-5
