ZDB-FISH-000215-8,Necrotic death in head. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-040719-1,day 1 (late): pinched midbrain/hindbrain boundary} slightly inflated hindbrain ventricle; day 2: cns necrosis} smaller head and eye} slightly inflated hindbrain ventricle} rounder yolk with thin extension; day 3 small head and eyes} thin body} round grey yolk with thin extension} a bit of pericardial edema; days 4-5 - increasingly sicker/necrotic} edema worsens} some dead by day 5
ZDB-FISH-040719-2,day 2: cns necrosis} rounder yolk; later days necrosis worsens through head and body} dead by day 5
ZDB-FISH-040719-4,day 2: cns necrosis} rounder yolk; later days necrosis worsens through head and body} dead by day 5
ZDB-FISH-040719-5,day 2: cns necrosis} rounder yolk; later days necrosis worsens through head and body} dead by day 5
ZDB-FISH-040719-6,day 1: a bit of cns necrosis (head appears a bit flat and grainy); day 2: a bit smaller head and eyes} round grey yolk with thin extension; day 5: small head and eyes} a bit thinner body} underdeveloped liver/guts} sometimes a bit of pericardial edema
ZDB-FISH-040719-7,day 1: a bit of cns necrosis (head appears a bit flat and grainy); day 2: a bit smaller head and eyes} round grey yolk with thin extension; day 5: small head and eyes} a bit thinner body} underdeveloped liver/guts} sometimes a bit of pericardial edema
ZDB-FISH-040720-1,day 4-5: smaller head and eyes} underdeveloped liver/gut} some unconsumed yolk} a little pericardial edema
ZDB-FISH-040720-10,day 2: a little cns necrosis} body bent ventrally} sometimes kidney cyst already visible; days 3-4} head necrosis/shrinkage gets worse} pericardial edema develops} body stays ventrally curved} kidney cyst develops; day 5: necrosis begins to spread throughout embryo; phenotype is more subtle than hi1055b
ZDB-FISH-040720-11,day 2: body curved ventrally. By day 5} the curvature can be ventral or lateral or somewhere inbetween
ZDB-FISH-040720-19,day 2: body curved ventrally. By day 5} the curvature can be ventral or lateral or somewhere inbetween
ZDB-FISH-040720-2,day 4-5: smaller head and eyes} underdeveloped liver/gut} some unconsumed yolk} a little pericardial edema
ZDB-FISH-040720-3,day 5: smaller narrow/pointy head} smaller eyes} underdeveloped liver/gut
ZDB-FISH-040720-4,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped guts} sometimes pericardial edema
ZDB-FISH-040720-5,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped guts} sometimes pericardial edema
ZDB-FISH-040720-6,day 1: transient cns necrosis; day 3: small head and eyes} rounder grey yolk; day 5: small head and eyes} slightly thinner body} underdeveloped liver/gut} pericardial edema} some unconsumed yolk
ZDB-FISH-040720-7,day 1: transient cns necrosis; day 3: small head and eyes} rounder grey yolk; day 5: small head and eyes} slightly thinner body} underdeveloped liver/gut} pericardial edema} some unconsumed yolk
ZDB-FISH-040720-8,day 1: cns necrosis} flat head; day 2 very bad necrosis; embryos become increasingly necrotic and die day 3-5
ZDB-FISH-040720-9,day 2: a little cns necrosis} body bent ventrally} sometimes kidney cyst already visible; days 3-4} head necrosis/shrinkage gets worse} pericardial edema develops} body stays ventrally curved} kidney cyst develops; day 5: necrosis begins to spread throughout embryo
ZDB-FISH-040721-1,day 2: small head and eyes} slightly inflated hindbrain ventricle} round yolk with thin extension; days 3-4: small head/eyes} round grey yolk with thin extension} body a little shorter and thinner; day 5: small head/eyes} pericardial edema} thin and short body} underdeveloped liver/gut
ZDB-FISH-040721-10,day 3: slightly smaller head and eyes; day 5: thinner/pointy head} small eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040721-11,day 1: brain folds are funny/bumpy; day 2: smaller} bumpy head} body a bit thinner and sometimes bent; day 5: a bit smaller} bumpy head} body a bit thinner and sometimes bent
ZDB-FISH-040721-12,day 1: brain folds are funny/bumpy; day 2: smaller} bumpy head} body a bit thinner and sometimes bent; day 5: a bit smaller} bumpy head} body a bit thinner and sometimes bent
ZDB-FISH-040721-13,day 1: brain folds are funny/bumpy; day 2: smaller} bumpy head} body a bit thinner and sometimes bent; day 5: a bit smaller} bumpy head} body a bit thinner and sometimes bent
ZDB-FISH-040721-14,day 2: cns necrosis} small head and eyes} inflated hindbrain ventricle} thin and often curved body} rounder yolk with no extension; days 3-5} necrosis spreads throughout body} body wasting} small head and eyes and body} edema (pericardial and elsewhere)} some dead by day 5
ZDB-FISH-040721-15,day 2: a little cns necrosis; day 3: a little cns necrosis} small head and eyes} round yolk; d5: smaller eyes} flat/narrow head} underdeveloped liver and gut
ZDB-FISH-040721-16,day 5: fin edges look ratty; sometimes inflate swim bladder
ZDB-FISH-040721-2,day 2: cns necrosis} rounder dark yolk} body may be bent dorsally; later days necrosis worsens through head and body} dead or very necrotic by day 5
ZDB-FISH-040721-3,day 2: cns necrosis} rounder dark yolk} body may be bent dorsally; later days necrosis worsens through head and body} dead or very necrotic by day 5
ZDB-FISH-040721-4,day 2: cns necrosis} rounder dark yolk} body may be bent dorsally; later days necrosis worsens through head and body} dead or very necrotic by day 5
ZDB-FISH-040721-5,day 2: cns necrosis} rounder dark yolk} body may be bent dorsally; later days necrosis worsens through head and body} dead or very necrotic by day 5
ZDB-FISH-040721-6,day 1: short body with thin and wavy notochord and blocky head; day 2: really short body; day 5: body short and bent dorsally} head a bit small
ZDB-FISH-040721-7,day 1: short body with thin and wavy notochord and blocky head; day 2: really short body; day 5: body short and bent dorsally} head a bit small
ZDB-FISH-040721-8,day 1: short body with thin and wavy notochord and blocky head; day 2: really short body; day 5: body short and bent dorsally} head a bit small
ZDB-FISH-040721-9,day 3: slightly smaller head and eyes; day 5: thinner/pointy head} small eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040722-1,early day 1: a little cns necrosis} late day 1: hindbrain ventricle inflated; day 2: much smaller head/eye} pericardial edema} body thin/wasting; embryos get progressively more necrotic/shriveled up and most are dead by day 5
ZDB-FISH-040722-2,day 2: cns necrosis} body maybe bent up; embryos get progressively more necrotic} most are dead by day 5
ZDB-FISH-040722-3,day 2: cns necrosis} body maybe bent up; embryos get progressively more necrotic} most are dead by day 5
ZDB-FISH-040722-4,day 2: cns necrosis} body maybe bent up; embryos get progressively more necrotic} most are dead by day 5
ZDB-FISH-040722-5,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: small head and eyes; day 5: small head and eyes} variably short and thin body} slight pericardial edema} underdeveloped liver/gut
ZDB-FISH-040722-6,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: small head and eyes; day 5: small head and eyes} variably short and thin body} slight pericardial edema} underdeveloped liver/gut
ZDB-FISH-040722-7,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: small head and eyes; day 5: small head and eyes} variably short and thin body} slight pericardial edema} underdeveloped liver/gut
ZDB-FISH-040722-8,day 2: ventrally curved body} may see beginning of kidney cyst; day 5} ventral curved trunk} kidney cyst
ZDB-FISH-040723-1,day 1/2 slightly pinched midbrain/hindbrain boundary} slightly smaller head; day 3: smaller head/eyes} yolk a bit rounder} day 5: slightly smaller head and eyes} underdeveloped liver/gut; sometimes inflate swim bladder
ZDB-FISH-040723-4,day 1 slightly pinched midbrain/hindbrain boundary} a little cns necrosis} day 2: slightly smaller head} some cns necrosis} hindbrain ventricle slightly inflated; day 5: small head and eyes} underdeveloped liver/gut} unconsumed yolk} thin body
ZDB-FISH-040723-5,day 1 slightly pinched midbrain/hindbrain boundary} a little cns necrosis} day 2: slightly smaller head} some cns necrosis} hindbrain ventricle slightly inflated; day 5: small head and eyes} underdeveloped liver/gut} unconsumed yolk} thin body
ZDB-FISH-040723-6,day 1/2 slightly pinched midbrain/hindbrain boundary} smaller head; day 3: small head and eyes} round grey yolk with thin extension} thin body; day 5: small head and eyes} underdeveloped liver/gut} sometimes inflate swim bladder (note: this phenotype seems very variable in severity)
ZDB-FISH-040723-7,day 1/2 slightly pinched midbrain/hindbrain boundary} smaller head; day 3: small head and eyes} round grey yolk with thin extension} thin body; day 5: small head and eyes} underdeveloped liver/gut} sometimes inflate swim bladder (note: this phenotype seems very variable in severity)
ZDB-FISH-040726-1,day 2: enlarged atrium} pericardial edema} denting yolk; day 3: edema/heart defect more apparent} blood pooling in heart cavity; day 5; small head and eyes} thick jaw} pericardial edema (may swell to include yolk area)} grey or edema-swollen yolk and underdeveloped liver/gut
ZDB-FISH-040726-2,day 5: slightly smaller eyes} posterior ventral jaw seems less full} liver noticeably larger} unconsumed yolk
ZDB-FISH-040726-3,day 1: slightly pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: slightly smaller head} some cns necrosis} hindbrain ventricle mildly inflated; day 5: small and maybe necrotic head and eyes} underdeveloped liver/gut} pericardial edema} variably thin body} variably round grey yolk
ZDB-FISH-040727-1,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: necrosis is worse; day 5: sometimes dead} otherwise thin and necrotic body} small head and eye} pericardial edema} unconsumed yolk} underdeveloped liver/gut
ZDB-FISH-040727-2,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: necrosis is worse; day 5: sometimes dead} otherwise thin and necrotic body} small head and eye} pericardial edema} unconsumed yolk} underdeveloped liver/gut
ZDB-FISH-040727-3,day 1: cns necrosis} thin midbrain/hindbrain boundary} slightly flat head; day 2 cns necrosis} small head and eyes} round grey yolk with thin extension; d3-5: increasingly smaller head and eyes} necrosis spreads a bit into body} pericardial edema} underdeveloped liver and gut} round grey yolk
ZDB-FISH-040727-4,day 5: slightly smaller head} looks blockheaded (jaw does not extend anterior to the eyes)
ZDB-FISH-040727-5,day 5: slightly smaller and rounder head} looks blockheaded (jaw does not extend anterior to the eyes); cartilage fails to stain with Alcian blue
ZDB-FISH-040727-6,day 5: slightly smaller and rounder head} looks blockheaded (jaw does not extend anterior to the eyes); cartilage fails to stain with Alcian blue
ZDB-FISH-040727-7,days 4-5: A bit of cns necrosis} small head/eye} a bit of pericardial edema} slightly underdeveloped gut
ZDB-FISH-040728-1,day 1/2 sometimes slightly smaller head and eyes} sometimes smaller body size (highly variable in this respect); day 3-5 skin looks bumpy} often shorter body} sometimes small pericardial edema; day 5 also underdeveloped liver/gut} unconsumed yolk
ZDB-FISH-040728-10,day 1: slightly pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: slightly smaller head} some cns necrosis} hindbrain ventricle slightly inflated; day 5: narrower head} slightly smaller eyes} underdeveloped liver/gut
ZDB-FISH-040728-11,day 1: cns necrosis} flat head; day 2 very bad necrosis; embryos become increasingly necrotic and die day 3-5
ZDB-FISH-040728-2,day 1/2 sometimes slightly smaller head and eyes} sometimes smaller body size (highly variable in this respect); day 3-5 skin looks bumpy} often shorter body} sometimes small pericardial edema; day 5 also underdeveloped liver/gut} unconsumed yolk
ZDB-FISH-040728-3,d5: slightly smaller eyes} slightly smaller and variably rounder head with (variable) ventrally protruding jaw} slightly underdeveloped gut
ZDB-FISH-040728-4,day 2: a bit of cns necrosis} inflated hindbrain ventricle; day 3: small head and eyes} round grey yolk} thinner body; day 5: small head and eyes} thin body} underdeveloped liver/gut} sometimes a little pericardial edema and/or necrosis in body
ZDB-FISH-040728-5,day 2: cns necrosis} body sometimes bent up; day 5: sometimes dead} if not: very small and necrotic head and eyes} underdeveloped liver/gut
ZDB-FISH-040728-6,day 2: cns necrosis} body sometimes bent up; day 5: sometimes dead} if not: very small and necrotic head and eyes} underdeveloped liver/gut
ZDB-FISH-040728-7,day 2: edema digging into yolk} heart small and lacking atrium} smaller head} body bent down} a bit less pigment; day 5 very small head and eyes} edema and dark misshapen yolk} body bent down
ZDB-FISH-040728-8,day 2: edema digging into yolk} heart small and lacking atrium} smaller head} body bent down} a bit less pigment; day 5 very small head and eyes} edema and dark misshapen yolk} body bent down
ZDB-FISH-040728-9,day 4-5: somewhat dark/necrotic head} pericardial edema} some degeneration in body
ZDB-FISH-040803-1,day 5: somewhat dark/necrotic head} some degeneration in body; pericardial edema} dark yolk
ZDB-FISH-040804-1,day 2: a little cns necrosis} small head and eye} inflated hindbrain ventricle; day 5: small head and eyes} round grey yolk} underdeveloped liver/guts} pericardial edema} sometimes necrotic body
ZDB-FISH-040805-1,day 3 small head and eyes} day 5: small/pointy head} small eyes} unconsumed yolk} a bit underdeveloped gut
ZDB-FISH-040805-2,late day 1: body is shorter} and curved ventrally more than usual} pear-shaped yolk} bit of pericardial edema} flatter pointy head (brain ventricles do not inflate); day 2: very bad edema} very swollen misshapen yolk; become necrotic and dead by day 3-5
ZDB-FISH-040809-1,day 5: narrow/pointy head} small eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040811-1,day 5: smaller head and eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040823-1,day 1: a little cns necrosis; day 2: small head and eyes} cns necrosis; day 5: small head and eyes} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040824-1,day 1: necrotic} flat} grainy head and brain} grainy throughout body} body thin} bent/wasting with rounded somites; day 2: shrivelled necrotic head} pericardial edema without beating heart} short trunk with bent tail tip and rounded somites; day 3: dead
ZDB-FISH-040824-2,day 5: narrow/pointy head} slightly smaller eyes} sometimes inflate swim bladder
ZDB-FISH-040824-3,day 5: a bit rounder head} small otoliths} a bit underdeveloped liver /gut
ZDB-FISH-040824-4,day 3: mild cns necrosis and small head and eyes} rounder yolk; day 5: smaller and rounder head} a bit of pc edema} underdeveloped liver/gut
ZDB-FISH-040824-5,late day 1: pericardial edema} denting yolk} heart small; day 2: smaller eyes with spotty RPE} shorter head} yolk dented by pericardial edema} small heart (no or very small atrium)} brain ventricles underinflated} tail curved dorsally
ZDB-FISH-040824-6,day 1: posterior somite boundaries a bit indistinct; days 2-5: posterior somite boundaries remain indistinct or choppy} but all other structures develop normally} and most mutants do inflate swim bladders
ZDB-FISH-040824-7,day 1: brain folds are irregular and ventricles underinflated; day 2: small} bumpy head} small eyes and ears} pericardial edema denting yolk} weak heartbeat} trunk slightly curved dorsally; day 5: lots of necrosis/degeneration} near dead} small everything} pericardial edema} swollen yolk} tail curled up.
ZDB-FISH-040824-8,day 5: smaller and rounder head} smaller eyes} pericardial edema and sometimes edema over head (variable)} underdeveloped liver/gut
ZDB-FISH-040825-10,day 5: narrow head} slightly smaller eyes} slightly underdeveloped gut
ZDB-FISH-040825-6,day 3: slightly smaller head and eyes; day 5 small and slightly necrotic head} small eyes} pericardial edema} underdeveloped liver/gut (note: degree of necrosis can be worse/variable and also can have thin/wasting body)
ZDB-FISH-040825-7,day 2: cns necrosis; days 3-5 progressively necrotic through body} usually dead day 4 or 5
ZDB-FISH-040825-8,day 1; slightly smaller eyes} small/pointy forebrain; day 2: slightly inflated hindbrain ventricle} yolk extension a bit thinner; day 5: narrow head} slightly smaller eyes} a little pericardial edema
ZDB-FISH-040825-9,day 1: cns necrosis and inflated hindbrain ventricle; day 2: smaller head and eyes} inflated hindbrain ventricle} rounder yolk with thin extension} thin body; days 3-5: increasingly necrotic} small head and eyes and body} pericardial edema
ZDB-FISH-040826-10,day 5: smaller and rounder head} jaws don't extend anterior of eyes} cartilage does not stain with Alcian blue
ZDB-FISH-040826-2,day 1: a little cns necrosis} thin/pinched midbrain/hindbrain boundary} pointy forebrain; day 2; small head and eye} slightly inflated hindbrain ventricle} rounder yolk with thin extension} thin body; day 4-5: very small and necrotic head and eyes} thin body with tail curled down} pericardial edema} underdeveloped liver/gut} round grey yolk
ZDB-FISH-040826-3,day 1: rather necrotic} often head flat} body/trunk not extended much posterior to the yolk; day 2: cns necrosis} round grey yolk with thin extension} thin body; dies soon thereafter
ZDB-FISH-040826-4,day 1: rather necrotic} often head flat} body/trunk not extended much posterior to the yolk; day 2: cns necrosis} round grey yolk with thin extension} thin body; dies soon thereafter
ZDB-FISH-040826-5,day 2: cns necrosis} small head and eyes; day 3: very small head and eyes} round yolk} sometimes body bent up; day 5: nearly dead} very small head and eyes} severe edema over body and head
ZDB-FISH-040826-6,day 4-5 small head and eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040826-7,day 3} 4: head and eyes a little smaller; day 5: small head and eyes} underdeveloped liver/gut } variable pericardial edema
ZDB-FISH-040826-8,day 5: slightly (variably) narrower head} slightly (variably) underdeveloped gut} sometimes a bit bent body
ZDB-FISH-040826-9,day 1: a little cns necrosis} thin/pinched midbrain/hindbrain boundary} pointy forebrain; day 2; cns necrosis} small head and eyes} slightly inflated hindbrain ventricle} rounder yolk with thin extension; day 5: small head and eye} thin body} a bit of pericardial edema} underdeveloped liver/gut} round grey yolk
ZDB-FISH-040827-2,day 2: ventrally curved body} may see beginning of kidney cyst; day 5} curved or wavy body} kidney cyst
ZDB-FISH-040827-3,day 2: ventrally curved body} small kidney cyst; day 5} curved or wavy body} kidney cyst
ZDB-FISH-040827-4,day 2: ventrally curved body} small kidney cyst; day 5} curved or wavy body} kidney cyst
ZDB-FISH-040827-5,day 1: cns necrosis; day 2: worse cns necrosis} small head/eyes} round grey yolk with thin extension} thin and sometimes wasting body; day 3: very necrotic throughout; day 4: dead
ZDB-FISH-040827-6,day 2: ventrally curved body} may see beginning of kidney cyst; day 5} curved or wavy body} kidney cyst
ZDB-FISH-040827-7,day 4 or 5: (variable penetrance) cns necrosis begins} head a little misshapen/small with thick jaw} small eyes} underdeveloped liver/gut} sometimes pericardial edema 
ZDB-FISH-040827-8,day 3: slightly smaller head and eyes} pigment in eyes is spotty; day 5: smaller head} much smaller eyes with normal sized (thus bulging) lenses} sometimes inflate swim bladder
ZDB-FISH-040830-10,day 2: slightly inflated hindbrain} slightly smaller head and eyes} thin yolk extension; day 3: slightly smaller head and eyes} rounder yolk with thin extension; day 5: (variable) smaller/rounder head} sometimes with pericardial edema} underdeveloped liver and gut - but can be more severe: smaller head and eyes} rounder yolk} thinner body
ZDB-FISH-040830-11,day 2: small head and eyes} rounder yolk with thin extension} thin body and less pigment (like delay); day 3: small head and eyes} thin body} round grey yolk with thin extension; days 4-5 progressively more necrotic head and thin/wasting body} develops pericardial edema} usually dead by day 5
ZDB-FISH-040830-2,day 2: body curved dorsally. Same on days 3-5
ZDB-FISH-040830-4,day 5: narrow head} slightly underdeveloped gut 
ZDB-FISH-040830-5,day 2: small head and eyes} rounder yolk with thin extension; day 3: small head and eyes} thin body} round yolk with thin extension; day 5: much smaller head and eyes} swollen unconsumed yolk} some pericardial edema} body often somewhat necrotic and bent up
ZDB-FISH-040830-6,day 3: a little cns necrosis} smaller head and eyes} round grey yolk; day 5: shrunken necrotic head and eyes} round grey yolk} underdeveloped liver/gut
ZDB-FISH-040830-7,day 3: a bit smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut
ZDB-FISH-040830-8,day1: cns necrosis; day 2: cns necrosis} rounder yolk with thin extension} thin body (sometimes bent up); days 3-5 progressively more necrotic head and thin/wasting body} develops pericardial edema} usually dead by day 5
ZDB-FISH-040830-9,day 1: cns necrosis; day 2 worse necrosis; day 5: quite necrotic} very small head and eyes} pericardial edema} thin and degrading body
ZDB-FISH-040831-1,day 2: cns necrosis; day 3: small head and eyes; day 5: very small head and eyes} underdeveloped liver/gut} pericardial edema (edema can extend over the head too)
ZDB-FISH-040831-2,day 1: cns necrosis} thin midbrain/hindbrain boundary} slightly flat head; day 2 very bad necrosis in head} round grey yolk with thin extension} body curved up; most dead by day 5; otherwise very small and underdeveloped} necrotic throughout
ZDB-FISH-040831-3,day 2: some cns and eye necrosis ; day 3: small head and eyes; day 5: small head and eyes} underdeveloped liver/gut
ZDB-FISH-040831-4,day 3 slightly small head and eyes; day 5: small head and eyes} underdeveloped liver/gut
ZDB-FISH-040831-5,day 3: slightly smaller head and eye; day 4: small head and eye} circulation cut off to trunk (and later to the head)} such that blood circulates only in a small loop between the heart and jaw day 5: small head and eye} blood circulation remains restricted but slows down and eventually stops entirely} underdeveloped liver/gut
ZDB-FISH-040831-6,day 5: a little cns necrosis} small head and eyes with edema around head; cartilage does not stain well with Alcian blue
ZDB-FISH-040907-1,day 4-5: skin/fins are rough-edged or eaten-away} pectoral fins are stubby} head and eyes are slightly smaller
ZDB-FISH-040907-2,day 1: short body with wavy notochord and blocky head; day 2: really sick looking} short body} funny head and yolk; embryos become increasingly necrotic and die by day 3- 5
ZDB-FISH-040907-3,day 1: short body with wavy notochord and blocky head; day 2: really sick looking} short body} funny head and yolk; embryos become increasingly necrotic and die by day 3- 5
ZDB-FISH-040907-4,day 1: short body with wavy notochord and blocky head; day 2: really sick looking} short body} funny head and yolk; embryos become increasingly necrotic and die by day 3- 5
ZDB-FISH-040907-5,day 5: narrow/pointy head} slightly smaller eyes} sometimes inflate swim bladder
ZDB-FISH-040908-1,day 5: narrow/pointy head} slightly smaller eyes} jaw juts a bit ventrally} slightly underdeveloped gut
ZDB-FISH-040908-2,day 3: slightly smaller head and eyes; day 5: small head and eyes} a little pericardial edema} underdeveloped liver/gut
ZDB-FISH-040908-3,day 3: slightly smaller head and eyes; day 5: small head and eyes} a little pericardial edema} underdeveloped liver/gut
ZDB-FISH-040909-1,day 1: cns necrosis; day 2 very bad necrosis; embryos become increasingly necrotic and die day 3-5
ZDB-FISH-040909-2,day 3: slightly smaller head and eyes; day 5: small head and eyes} a little pericardial edema} underdeveloped liver/gut
ZDB-FISH-040910-1,day 1: slightly pinched midbrain/hindbrain boundary} a little cns necrosis} day 2: small head} some cns necrosis} a inflated hindbrain ventricle} thin yolk extension; day 5: very small head and eyes} round grey yolk} thin/wasting body} underdeveloped guts} sometimes dead
ZDB-FISH-040910-2,day 2: no body pigment} less eye pigment; d5: less pigment} small and blocky head with some necrosis} small eye} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040910-3,day 4-5: somewhat dark/necrotic head} pericardial edema} some degeneration in body
ZDB-FISH-040913-1,day 2: a little less pigment} pigment in tighter spots ; day 5: rounder head} thick jaw} a bit smaller eye} smaller/tighter pigment spots} sometimes inflate swim bladder
ZDB-FISH-040913-2,day 3: a little cns necrosis} a bit smaller head} pericardial edema; day 4-5: necrosis in body} small head and eyes} pericardial edema} underdeveloped liver/gut} unconsumed yolk
ZDB-FISH-040913-4,day 1: slightly pinched midbrain/hindbrain boundary} a little cns necrosis} day 2: slightly smaller head; day 5: small head and eyes} pericardial edema} underdeveloped liver/gut
ZDB-FISH-040914-1,day 1: cns necrosis} flat head; day 2 very bad necrosis; embryos become increasingly necrotic and die day 3-5
ZDB-FISH-040914-2,day 1: cns necrosis} flat head; day 2 very bad necrosis; embryos become increasingly necrotic and die day 3-5
ZDB-FISH-040914-3,day 1: cells appear to be shedding off; day 2: more severe} maybe dying/rotting. Usually totally rotten by day 2-3
ZDB-FISH-040915-10,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040915-2,day 1: anterior trunk is thinner with indistinct notochord and somite boundaries} sometimes yolk is pinched where extension meets yolk} trunk is a bit broad just posterior to that; day 2: head a bit short A-P} tall D-V; anterior trunk thin} posterior of trunk a little bulbous; day 5: head looks swollen} a little pericardial edema} anterior trunk still thin and/or kinked with disruptions in notochord and somites} underdeveloped liver/ gut
ZDB-FISH-040915-3,day 1: anterior trunk is thinner with indistinct notochord and somite boundaries} sometimes yolk is pinched where extension meets yolk} trunk is a bit broad just posterior to that; day 2: head a bit short A-P} tall D-V; anterior trunk thin} posterior of trunk a little bulbous; day 5: head looks swollen} a little pericardial edema} anterior trunk still thin and/or kinked with disruptions in notochord and somites} underdeveloped liver/ gut
ZDB-FISH-040915-4,day 5: slightly smaller and rounder head} a bit of pericardial edema} underdeveloped liver/ gut
ZDB-FISH-040915-5,day 3: small head and eye; day 5: small head and eye} underdeveloped liver/gut} a little pericardial edema and edema around eyes or head
ZDB-FISH-040915-6,day 2-3: small otoliths. Indistinguishable from wild type by day 5
ZDB-FISH-040915-7,day 5: a bit rounder/smaller head
ZDB-FISH-040915-8,day 2-3: small otoliths. Indistinguishable from wild type by day 5
ZDB-FISH-040915-9,day 1: slightly pinched midbrain/hindbrain boundary} pointy forebrain} a bit of cns necrosis; day 2: a bit smaller head and eyes}; day 5: very small head and eyes} pericardial edema} swollen yolk} underdeveloped liver/gut
ZDB-FISH-040917-1,day 2: no/less body pigment} head a little shorter/blockier; day 5: less body pigment} body a little thinner} gut slightly underdeveloped
ZDB-FISH-040923-1,day 5: smaller} rounder and slightly necrotic head} smaller eyes} jaw small and jutting ventrally} sometimes a bit of pc edema (variable)} underdeveloped liver/gut
ZDB-FISH-040923-2,days 2-3: a bit smaller head and eyes} slightly rounder yolk (this is variable; sometimes cannot tell); day 5: small head and eyes} sometimes a bit of pericardial edema (variable)} slightly underdeveloped liver/gut
ZDB-FISH-040924-1,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040924-2,day 2: fins seem not so full; head} eyes and/or body sometimes a little smaller; day 5: fins small and very rough edged} head} eyes and/or body sometimes a little smaller} sometimes do inflate swim bladder - these are viable} and have normal fins within a few weeks
ZDB-FISH-040924-3,day 3: a little necrosis in head; day 5: head and body a little necrotic} small head and eyes} underdeveloped liver/gut} sometimes pericardial edema
ZDB-FISH-040924-4,day 1: brain folds are irregular} hindbrain ventricle underinflated; day 2: small} bumpy head} pericardial edema} trunk bent dorsally; day 5: a bit smaller} bumpy head} a bit of pericardial edema} severely curved trunk
ZDB-FISH-040924-5,day 2: a little cns necrosis} a little smaller head and eyes; day 5: small head and eyes} pericardial edema} round grey yolk} underdeveloped liver/gut} sometimes dead
ZDB-FISH-040924-6,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut} pericardial edema
ZDB-FISH-040924-7,day 5: narrow/pointy head} slightly smaller eyes} slightly thin body} slightly underdeveloped gut
ZDB-FISH-040927-1,day 2: cns necrosis} small head and eyes} inflated hindbrain ventricle} thin and often curved body} rounder yolk with no extension; days 3-5} necrosis spreads throughout body} body wasting} small head and eyes and body} edema (pericardial and elsewhere)} some dead by day 5
ZDB-FISH-040927-10,day 5: slightly narrow head} slightly underdeveloped gut
ZDB-FISH-040927-11,day 1: pinched midbrain/hindbrain boundary} pointy forebrain} a bit of cns necrosis; day 2: cns necrosis} round grey yolk with thin extension} thin body; dead by day 5 
ZDB-FISH-040927-12,day 2: head and eyes a little smaller} pericardial edema} bad circulation; day 5: smaller head and eyes} pericardial edema and other edema} body bent up and/or necrotic
ZDB-FISH-040927-13,day 2: head and eyes a little smaller} pericardial edema} bad circulation; day 5: smaller head and eyes} pericardial edema and other edema} body bent up and/or necrotic
ZDB-FISH-040927-14,day 2: slightly smaller head and eyes; day 5: narrow head} smaller eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-040927-15,day 2: a little cns necrosis} inflated hindbrain ventricle} thin yolk extension; day 5: small head and eyes} round grey yolk} thin body underdeveloped liver/gut
ZDB-FISH-040927-2,days 3-5: slightly smaller and rounder head} very small ears and otoliths} shorter body} a bit of pericardial edema} slightly underdeveloped gut
ZDB-FISH-040927-3,day 5: slightly smaller head and eyes} some anterior arch structures reduced} a little pericardial edema} underdeveloped gut
ZDB-FISH-040927-4,day 5: narrow/pointy head} slightly smaller eyes} slightly underdeveloped liver/gut
ZDB-FISH-040927-5,day 5: rounder head with scooped out jaw (some ventral cartilages reduced or absent)} underdeveloped liver/gut
ZDB-FISH-040927-6,day 3: begin small head/eye; day 5: small head/eye} underdeveloped guts} sometimes a little pc edema
ZDB-FISH-040927-7,day 1: slightly short trunk} ventral trunk thickened just posterior to yolk; day 2-5: tail tip bent up a bit} still thickened ventral trunk
ZDB-FISH-040927-8,day 1: cns necrosis} flat head; day 2 very bad necrosis; day 3: many dead} the rest necrotic and wasting throughout; day 4: dead 
ZDB-FISH-040927-9,day 4: small head and eyes} day 5: small head and eyes} body a bit thin} underdeveloped liver/gut} sometimes body curved dorsally a little
