ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-187,t30395,;dopamine metabolism (abnormal); Protruding-mouth: dopaminergic neuron decreased number (abnormal); ,"dopaminergic cells in ventral diencephalon\"";"" pretectum\"";"" retina and telencephalon reduced; dopaminergic cells in ventral diencephalon disorganized <b>Details:</b>","Assay: TH WISH<br>Description: dopaminergic cells in ventral diencephalon\"";"" pretectum\"";"" retina and telencephalon reduced; dopaminergic cells in ventral diencephalon disorganized<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-638"">Wolfgang Driever</a> / <a href=""ZFIN_jump?record=ZDB-PERS-050428-23"">Heiko Loehr</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-188,t30744,;Adult: fins shrunken (abnormal); ,dorsal fin missing <b>Details:</b>,"Assay: Dermal Bone<br>Description: dorsal fin missing<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-189,t30919,;Day 5: epidermis structure (abnormal); wound healing (abnormal); ,"Double mutant. 10/29 <em>nacre</em>-like\"";"" 8/29 bags of skin\"";"" 3 with both <b>Details:</b>","Assay: wound healing<br>Description: Double mutant. 10/29 <em>nacre</em>-like\"";"" 8/29 bags of skin\"";"" 3 with both<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-19,t30873,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-190,t30689,;High-pec: epidermis structure (abnormal); ,early skin phenotype on d1. On d2 larvae were almost dying and so skin phenotype (detachment) could be secondary <b>Details:</b>,"Assay: Skin 1<br>Description: early skin phenotype on d1. On d2 larvae were almost dying and so skin phenotype (detachment) could be secondary<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-191,t30436,;Adult: scales pattern (abnormal); ,early trunk polarity in scales <b>Details:</b>,"Assay: Dermal Bone<br>Description: early trunk polarity in scales<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-192,t30183,;brain development (abnormal); Protruding-mouth: brain pattern (abnormal); ,ectopic isotocin domains <b>Details:</b>,"Assay: Pituitary screen<br>Description: ectopic isotocin domains<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-193,t30583,;insulin processing (abnormal); Long-pec: pancreas pattern (abnormal); ,ectopic single cell posteriorly to islet <b>Details:</b>,"Assay: Pancreas<br>Description: ectopic single cell posteriorly to islet<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-194,t30640,;insulin processing (abnormal); Long-pec: pancreas pattern (abnormal); ,ectopic single cells posterior to islet <b>Details:</b>,"Assay: Pancreas<br>Description: ectopic single cells posterior to islet<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-195,t30713,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Embryo with almost no microglia\"";"" normal head. <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo with almost no microglia\"";"" normal head.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-196,t30814,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,"Embryo with degeneration in the brain. Lots of red cells\"";"" also outside in jaw and pec fin. SB ok. <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo with degeneration in the brain. Lots of red cells\"";"" also outside in jaw and pec fin. SB ok.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-197,t30709,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Embryo with delay\"";"" small head\"";"" less pigmentation and fewer macrophages. Embryo concentration of mphi on the left side of the brain <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo with delay\"";"" small head\"";"" less pigmentation and fewer macrophages. Embryo concentration of mphi on the left side of the brain<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-198,t30712,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Embryo with fewer macrophages in head\"";"" normal number in retina. Small jaw defect. <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo with fewer macrophages in head\"";"" normal number in retina. Small jaw defect.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-199,t30659,;cell migration (abnormal); Day 4: macrophages (abnormal/absent); ,"Embryo with jaw defect\"";"" no pigment\"";"" ""dolphin"" type\"";"" no red cells at all. Probably less differentiated <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo with jaw defect\"";"" no pigment\"";"" ""dolphin"" type\"";"" no red cells at all. Probably less differentiated<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-2,t30231,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-20,t30874,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-200,t30656,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,Embryo with more big red cells at the border of brain retina <b>Details:</b>,"Assay: Macrophage migration<br>Description: Embryo with more big red cells at the border of brain retina<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-201,t30655,;cell migration (abnormal); Day 4: macrophages relative_quantity (normal); ,Embryo with small head but normal number of macrophages <b>Details:</b>,"Assay: Macrophage migration<br>Description: Embryo with small head but normal number of macrophages<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-202,t30501,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Embryo without pigments\"";"" fewer cells in brain and retina. Head smaller <b>Details:</b>","Assay: Macrophage migration<br>Description: Embryo without pigments\"";"" fewer cells in brain and retina. Head smaller<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-203,t30134,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Embryos have small head and small eyes but have fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Embryos have small head and small eyes but have fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-204,t30648,;insulin processing (abnormal); Long-pec: pancreas pattern (abnormal); ,"embryos show ectopic insulin positive cells posterior\"";"" homogenous embryos look normal. <b>Details:</b>","Assay: Pancreas<br>Description: embryos show ectopic insulin positive cells posterior\"";"" homogenous embryos look normal.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-205,t30381,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,enlarged atrium with no inflow (stenotic sinus venosus?) and atrioventricle valve defect? No peripheral circulation. <b>Details:</b>,"Assay: Heart development<br>Description: enlarged atrium with no inflow (stenotic sinus venosus?) and atrioventricle valve defect? No peripheral circulation.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-206,t30353,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"enlarged atrium with stenotic sinus venosus and common cardinal vein\"";"" no peripheral circulation\"";"" small eyes <b>Details:</b>","Assay: Heart development<br>Description: enlarged atrium with stenotic sinus venosus and common cardinal vein\"";"" no peripheral circulation\"";"" small eyes<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-207,t30654,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"enlarged atrium\"";"" compact ventricle\"";"" hematoma in yolk\"";"" no peripheral circulation\"";"" pericardial edema <b>Details:</b>","Assay: Heart development<br>Description: enlarged atrium\"";"" compact ventricle\"";"" hematoma in yolk\"";"" no peripheral circulation\"";"" pericardial edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-208,t30547,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"enlarged atrium\"";"" hypertrophic ventricle\"";"" pigmentation delay in eyes\"";"" weak peripheral circulation\"";"" pericardial edema <b>Details:</b>","Assay: Heart development<br>Description: enlarged atrium\"";"" hypertrophic ventricle\"";"" pigmentation delay in eyes\"";"" weak peripheral circulation\"";"" pericardial edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-209,t30411,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"enlarged atrium\"";"" small ventricle with weak contractions\"";"" pericardial edema\"";"" no peripheral circulation. Stenotic sinus venosus? <b>Details:</b>","Assay: Heart development<br>Description: enlarged atrium\"";"" small ventricle with weak contractions\"";"" pericardial edema\"";"" no peripheral circulation. Stenotic sinus venosus?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-21,t30875,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-210,t30795,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,enlarged heart and cardiac edema <b>Details:</b>,"Assay: heart morphology<br>Description: enlarged heart and cardiac edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-211,t30566,;insulin processing (abnormal); Long-pec: pancreas large size (abnormal); ,enlarged pancreas merged with enteric TH expression <b>Details:</b>,"Assay: Pancreas<br>Description: enlarged pancreas merged with enteric TH expression<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-212,t30222,;Long-pec to Pec-fin: telencephalon large size (abnormal); ,expanded telencephalon (at 34hpf); smaller retinas (at 34hpf) <b>Details:</b>,"Assay: Serotonergic system<br>Description: expanded telencephalon (at 34hpf); smaller retinas (at 34hpf)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-050505-8"">Christian Stigloher</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-213,t30904,;Day 5: epidermis structure (abnormal); ,Extensive epidermal blistering <b>Details:</b>,"Assay: Skin 1<br>Description: Extensive epidermal blistering<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-214,t30905,;Day 5: epidermis structure (abnormal); ,Extensive skin blistering on d5 <b>Details:</b>,"Assay: Skin 1<br>Description: Extensive skin blistering on d5<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-215,t30460,;Adult: cranial skeleton size (abnormal); ,extreme jaw phenotype. Maybe associated with different skull shape. <b>Details:</b>,"Assay: Dermal Bone<br>Description: extreme jaw phenotype. Maybe associated with different skull shape.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-216,t30150,;visual behavior (abnormal); Adult: visual behavior (abnormal/absent); ,F2 adult screen -- irregular shape of pupils; big pupils; opaque lens on one side; tiny and black <b>Details:</b>,"Assay: Eye move<br>Description: F2 adult screen -- irregular shape of pupils; big pupils; opaque lens on one side; tiny and black<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-217,t30449,;Adult: testis supernumerary (abnormal); ,female color with testis <b>Details:</b>,"Assay: Gonads<br>Description: female color with testis<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-11"">Kellee Siegfried</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-218,t30491,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Few macrophages but smaller brain. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Few macrophages but smaller brain.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-219,t30711,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Few microglia\"";"" brain ok. <b>Details:</b>","Assay: Macrophage migration<br>Description: Few microglia\"";"" brain ok.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-22,t30876,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-220,t30886,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"fewer and bigger microglia in the brain\"";"" normal in retina. <b>Details:</b>","Assay: Macrophage migration<br>Description: fewer and bigger microglia in the brain\"";"" normal in retina.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-221,t30563,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer cells\"";"" brain OK. <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer cells\"";"" brain OK.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-222,t30301,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer cells\"";"" located only in the midbrain. <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer cells\"";"" located only in the midbrain.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-223,t30299,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer cells. Normal brain morphology <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer cells. Normal brain morphology<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-224,t30300,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer cells; head flattened. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer cells; head flattened.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-225,t30376,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer macrophages in brain. Some reduced head <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer macrophages in brain. Some reduced head<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-226,t30426,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer macrophages\"";"" brain morphology normal and abnormal. <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer macrophages\"";"" brain morphology normal and abnormal.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-227,t30595,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer macrophages\"";"" brain OK; bigger and well shaped cells <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer macrophages\"";"" brain OK; bigger and well shaped cells<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-228,t30428,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer macrophages\"";"" more spread. <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer macrophages\"";"" more spread.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-229,t30260,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-23,t30877,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-230,t30262,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-231,t30265,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-232,t30913,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"fewer microglia in the head\"";"" cells are bigger\"";"" cells seem to be only at the borders of the brain\"";"" the head is flat\"";"" otherwise normal morphology <b>Details:</b>","Assay: Macrophage migration<br>Description: fewer microglia in the head\"";"" cells are bigger\"";"" cells seem to be only at the borders of the brain\"";"" the head is flat\"";"" otherwise normal morphology<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-233,t30562,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer microglia\"";"" flat head\"";"" jaw defect <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer microglia\"";"" flat head\"";"" jaw defect<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-234,t30849,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"fewer microglia\"";"" normal morphology <b>Details:</b>","Assay: Macrophage migration<br>Description: fewer microglia\"";"" normal morphology<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-235,t30888,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"fewer microglia\"";"" pale embryos\"";"" small head. <b>Details:</b>","Assay: Macrophage migration<br>Description: fewer microglia\"";"" pale embryos\"";"" small head.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
