include	disk_filename	view	direction	form	preparation	fig_label	caption	note
Y	slc10a4_magenta_26h_20241015_emb2_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	slc10a4_magenta_26h_20241015_emb2_ventral_mX_(RGB)	slc10a4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 26 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	slc10a4_magenta_48h_20250912_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	slc10a4_magenta_48h_20250912_emb4_mX_ventral_(RGB)	slc10a4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	slc10a4_magenta_48h_20250912_emb5_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	slc10a4_magenta_48h_20250912_emb5_mX_lateral_(RGB)	slc10a4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	slc10a4_magenta_3dpf_20241002_emb4_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	slc10a4_magenta_3dpf_20241002_emb4_lateral_mX_(RGB)	slc10a4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	slc10a4_magenta_6dpf_20250206_emb4_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	slc10a4_magenta_6dpf_20250206_emb4_ventral_mX_(RGB)	slc10a4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tbx5b_magenta_48h_20250331_emb3_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	tbx5b_magenta_48h_20250331_emb3_ventral_mX_(RGB)	tbx5b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in posterior vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tbx5b_magenta_48h_20250331_emb1_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	tbx5b_magenta_48h_20250331_emb1_lateral_mX_(RGB)	tbx5b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in posterior vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	tbx5b_magenta_3dpf_20241217_emb1_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	tbx5b_magenta_3dpf_20241217_emb1_ventral_mX_(RGB)	tbx5b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in posterior vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tbx5b_magenta_6dpf_20250214_emb1_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	tbx5b_magenta_6dpf_20250214_emb1_lateral_mX_(RGB)	tbx5b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in posterior vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	tbx5b_magenta_6dpf_20250509_emb1_mX_dorsal_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	tbx5b_magenta_6dpf_20250509_emb1_mX_dorsal_(RGB)	tbx5b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in posterior vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tmeff2b_magenta_48h_20250821_emb3_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	tmeff2b_magenta_48h_20250821_emb3_mX_ventral_(RGB)	tmeff2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tmeff2b_magenta_48h_20250905_emb3_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	tmeff2b_magenta_48h_20250905_emb3_mX_lateral_(RGB)	tmeff2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	tmeff2b_magenta_3d_20240709_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	tmeff2b_magenta_3d_20240709_lateral_mX_(RGB)	tmeff2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	tmeff2b_magenta_6dpf_20250929_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	tmeff2b_magenta_6dpf_20250929_emb4_mX_ventral_(RGB)	tmeff2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	tmeff2b_magenta_6dpf_20250929_emb1_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	tmeff2b_magenta_6dpf_20250929_emb1_mX_lateral_(RGB)	tmeff2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons. Single z-section in lateral view with anterior to the left.	exact
Y	trh_magenta_28hpf_20251024_emb3_mV r2_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	trh_magenta_28hpf_20251024_emb3_mV r2_ventral_(RGB)	trh HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in trigeminal motor neurons (CN V) in hindbrain rhomobomere (r)2. Single z-section in ventral view with anterior to the top. Arrows: genu of the facial nerve (CN VII). Asterisks: newly emerging trigeminal motor neurons in rhombomere 3.	exact
Y	vipb_magenta_3d_20240924_emb4_dorsal_mX_2_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	vipb_magenta_3d_20240924_emb4_dorsal_mX_2_(RGB)	vipb HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in a subset of medial vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top. Arrows: double-positive neurons. The green channel is overexposed because these medial neurons are only weakly expressing Tg(isl1:GFP-CAAX) (green).	auto-map r=0.99
Y	vipb_magenta_isl1a_cyan_3dpf_emb5_20260113_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	vipb_magenta_isl1a_cyan_3dpf_emb5_20260113_mX_ventral_(RGB)	vipb HCR (magenta), isl1a (cyan), and Tg(isl1:GFP-CAAX) (green) at 3 dpf in the vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top. Arrows indicate medial motor neurons (isl1+) that express vipb.	exact
Y	vipb_magenta_6dpf_20241206_emb3_dorsal_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	vipb_magenta_6dpf_20241206_emb3_dorsal_mX_(RGB)	vipb HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in a few select medial vagus motor neurons (CN X). Single z-section in ventral view with anterior is to the top.	exact
Y	vwc2l_magenta_26hpf_20241018_emb4_ventral_mVII_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	vwc2l_magenta_26hpf_20241018_emb4_ventral_mVII_(RGB)	vwc2l HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 26 hpf in facial motor neurons (CN VII) that have migrated to hindbrain rhombomeres (r)6 and r7. Maximum intensity projection in ventral view with anterior to the top.	exact
Y	MAX_vwc2l_48h_emb1_260505_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_vwc2l_48h_emb1_260505_mX_ventral_(RGB)	vwc2l HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in glosspharyngeal (CN IX) and anterior vagus motor neurons (CN X). Arrows point to mIX Ventral view with anterior to the top.	exact
N		lateral	anterior to the left	confocal single section	whole mount	20260529_vwc2lmagenta_2dpf_emb1_lateral_mX_single(RGB)	vwc2l HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in anterior vagus motor neurons (CN X). Lateral view with anterior to the left.	SUPERSEDED - curator confirmed the disk image; loaded via the appended row for vwc2l_magenta_2dpf_20260529_emb1_lateral_mX_(RGB)
Y	zeb2a_magenta_48hpf_20251006_emb3_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	zeb2a_magenta_48hpf_20251006_emb3_mX_ventral_(RGB)	zeb2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Expression throughout vagal motor nuclei except for the most posterior and most anterior vagal motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	zeb2a_48hpf_20251006_emb4_mX_lateral_single_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	zeb2a_48hpf_20251006_emb4_mX_lateral_single_(RGB)	zeb2a HCR (magenta) and Tg(isl1:GFP-CAAX at 48 hpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	zeb2a_magenta_3dpf_20250325_emb3_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	zeb2a_magenta_3dpf_20250325_emb3_ventral_mX_(RGB)	zeb2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	zeb2a_magenta_3dpf_20250326_emb3_lateral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	zeb2a_magenta_3dpf_20250326_emb3_lateral_mX_(RGB)	zeb2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	zeb2a_magenta_6dpf_20250326_emb2_lateral_flipped_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	zeb2a_magenta_6dpf_20250326_emb2_lateral_flipped_mX_(RGB)	zeb2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	zeb2b_magenta_48h_20250825_emb5_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	zeb2b_magenta_48h_20250825_emb5_mX_lateral_(RGB)	zeb2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Expression is robust in both the anterior and dorsal vagal motor neurons. Single z-section in lateral view with anterior to the left.	exact
Y	zeb2b_magenta_3dpf_20250502_emb2_mX_ventral_(RGB).tif	ventral	not specified	confocal single section	whole mount	zeb2b_magenta_3dpf_20250502_emb2_mX_ventral_(RGB)	zeb2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	zeb2b_magenta_3dpf_20250422_emb3_lateral_twisted_mX_.tif (RGB).tif	lateral	anterior to the left	confocal single section	whole mount	zeb2b_magenta_3dpf_20250422_emb3_lateral_twisted_mX_.tif (RGB)	zeb2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	zeb2b_magenta_6dpf_20250515_emb2_vagus_dorsal_(RGB).tif	ventral	not specified	confocal single section	whole mount	zeb2b_magenta_6dpf_20250515_emb2_vagus_dorsal_(RGB)	zeb2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	zeb2b_magenta_6dpf_20251016_emb1_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	zeb2b_magenta_6dpf_20251016_emb1_mX_lateral_(RGB)	zeb2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	MAX_znf385d_magenta_28h_emb4_251209_mVII_best(RGB).tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_znf385d_magenta_28h_emb4_251209_mVII_best(RGB)	znf385d HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in facial motor neurons (CN VII) that have migrated to hindbrain rhombomeres (r)6 and r7. Maximum intensity projection in ventral view with anterior to the top.	exact
Y	znf385d_magenta_48h_emb1_251209_mVII r6_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	znf385d_magenta_48h_emb1_251209_mVII r6_ventral_(RGB)	znf385d HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	znf385d_magenta_3dpf_emb3_251209_mVII r7_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	znf385d_magenta_3dpf_emb3_251209_mVII r7_ventral_(RGB)	znf385d HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	znf385d_magenta_6dpf_20250204_emb4_ventral_mVII r7_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	znf385d_magenta_6dpf_20250204_emb4_ventral_mVII r7_(RGB)	znf385d HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	cntn2_magenta_48h_20250815_emb4_mVII r7_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_48h_20250815_emb4_mVII r7_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in facial motor neurons (CN VII) in hindbrain rhombomere (r)6 and r7. Single z-section in ventral view with anterior to the top.	curator-confirmed 17: use disk image as found
Y	ptgir_magenta_48hpf_20250930_emb2_mV r2_ventral_PMT Light_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	ptgir_magenta_48hpf_20250930_emb2_mV r2_ventral_PMT Light_(RGB)	ptgir HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior to the top.	curator-confirmed 57: use disk image as found
Y	vwc2l_magenta_2dpf_20260529_emb1_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	vwc2l_magenta_2dpf_20260529_emb1_lateral_mX_(RGB)	vwc2l HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in anterior vagus motor neurons (CN X). Lateral view with anterior to the left.	curator-confirmed 92: use disk image as found
Y	crabp1b_magenta_3dpf_20240920_emb3_ventral_mIX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	crabp1b_magenta_3dpf_20240920_emb3_ventral_mIX_(RGB)	crabp1b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in glossopharyngeal (CN IX) and/or anterior-most vagus (CN X) motor neurons (arrows). Single z-section in ventral view with anterior to the top.	curator-supplied 29: byte-identical to the unmatched disk file crabp1b_3dpf__20240920_emb3_ventral_mX_single(RGB) - same image, renamed mX -> mIX
Y	mnx2b_cyan_cntn2_magenta_48hpf_emb2_260114_mVII_mVI_ventral_annotated_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	mnx2b_cyan_cntn2_magenta_48hpf_emb2_260114_mVII_mVI_ventral_annotated_(RGB)	cntn2 HCR (magenta), mnx2b (cyan), and Tg(isl1:GFP-CAAX) (green) at 48 hpf. Mnx2 is expressed in abducens motor neurons in hindbrain rhombomeres (r)5 and 6 (CN VI, arrows). Cntn2 is expressed in a subset of facial motor neurons in r6 (CN VII). Single z-section in ventral view with anterior to the top. Ovals: vagus motor neurons (CN X).	sheet row 19; image supplied 2026-08-10; curator 2026-08-11: cyan file, caption red->cyan, abducens=ZFA:0007132, split mnx2b->abducens r5+r6 / cntn2->facial r6
Y	mnx2b_cyan_cntn2_magenta_3dpf_emb1_251219_mVII_mVI_ventral_annotated_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	mnx2b_cyan_cntn2_magenta_3dpf_emb1_251219_mVII_mVI_ventral_annotated_(RGB)	cntn2 HCR (magenta), mnx2b (cyan) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in facial (CN VII) and abducens (CN VI; arrows) motor neurons in hindbrain rhombomeres (r)5 and r6. Mnx2 marks CN VI motor neurons, some of which also express cntn2 at this stage. Cntn2 is also expressed strongly in a subset of CNVII neurons. Single z-section in ventral view with anterior to the top. Ovals: vagus motor neurons (CN X).	sheet row 21; image supplied 2026-08-10; curator 2026-08-11: cyan_annotated file, mnx2b gene id added (sheet had cntn2 only), abducens=ZFA:0007132, and cntn2 recorded in abducens as well as facial per "some of which also express cntn2 at this stage"
