zdbid,abregid
ZDB-ATB-110525-1,
ZDB-ATB-110602-1,AB_301089
ZDB-ATB-110701-1, 
ZDB-ATB-110711-1,AB_2069872
ZDB-ATB-110712-1, 
ZDB-ATB-110715-1,AB_261888
ZDB-ATB-110720-1, 
ZDB-ATB-110721-1,AB_2202133
ZDB-ATB-110725-1, 
ZDB-ATB-110726-1,AB_ 10013622
ZDB-ATB-110726-2,AB_2107448
ZDB-ATB-110727-1,AB_2285132
ZDB-ATB-110727-2,AB_1963134
ZDB-ATB-110729-1, 
ZDB-ATB-110802-1,AB_398910
ZDB-ATB-110802-2,AB_560837
ZDB-ATB-110802-3,AB_2097841
ZDB-ATB-110802-4,AB_2181037
ZDB-ATB-110803-1,AB_2168560
ZDB-ATB-110803-2,AB_2122883
ZDB-ATB-110803-3, 
ZDB-ATB-110804-1,AB_10013607
ZDB-ATB-110804-2,AB_309394
ZDB-ATB-110804-3,AB_1846380
ZDB-ATB-110804-4,AB_1270437
ZDB-ATB-110804-5,AB_94872
ZDB-ATB-110811-1,AB_431526
ZDB-ATB-110822-1,AB_331790
ZDB-ATB-110822-2,AB_2238583
ZDB-ATB-110822-3,AB_777678
ZDB-ATB-110823-1,
ZDB-ATB-110824-1, 
ZDB-ATB-110826-1, 
ZDB-ATB-110826-2,AB_2056346
ZDB-ATB-110829-1, 
ZDB-ATB-110829-2, 
ZDB-ATB-110829-3, 
ZDB-ATB-110831-1, 
ZDB-ATB-110831-2,AB_398906
ZDB-ATB-110901-1, 
ZDB-ATB-110909-1, 
ZDB-ATB-110909-2, 
ZDB-ATB-110909-3,AB_1587196
ZDB-ATB-110909-4, 
ZDB-ATB-110912-1, 
ZDB-ATB-110919-1, 
ZDB-ATB-110923-1, 
ZDB-ATB-110923-2,AB_2258624
ZDB-ATB-110926-1,AB_944310
ZDB-ATB-110930-1,AB_528499
ZDB-ATB-111010-1,AB_ 10013723
ZDB-ATB-111010-2,AB_397592
ZDB-ATB-111010-3,
ZDB-ATB-111013-1, 
ZDB-ATB-111019-1, 
ZDB-ATB-111020-1, 
ZDB-ATB-111025-1, 
ZDB-ATB-111101-1,AB_443304
ZDB-ATB-111103-1,AB_1657414
ZDB-ATB-111104-1, 
ZDB-ATB-111107-1, 
ZDB-ATB-111107-2, 
ZDB-ATB-111107-3, 
ZDB-ATB-111108-1,AB_916024
ZDB-ATB-090130-2,AB_397554
ZDB-ATB-111108-3, 
ZDB-ATB-111111-1,AB_ 10013626
ZDB-ATB-111114-1, 
ZDB-ATB-111115-1, 
ZDB-ATB-111116-1,AB_10013621
ZDB-ATB-111118-1, 
ZDB-ATB-111118-2, 
ZDB-ATB-111128-1,AB_2114471
ZDB-ATB-111129-1,AB_59926
ZDB-ATB-111129-2,AB_310588
ZDB-ATB-111130-1, 
ZDB-ATB-111130-2, 
ZDB-ATB-111130-3, 
ZDB-ATB-111130-4,AB_297861
ZDB-ATB-111202-1, 
ZDB-ATB-111202-2, 
ZDB-ATB-111202-3,AB_632222
ZDB-ATB-111206-1, 
ZDB-ATB-111206-2, 
ZDB-ATB-111206-4, 
ZDB-ATB-111214-2,AB_1563968
ZDB-ATB-111214-3,AB_631940
ZDB-ATB-111221-1, 
ZDB-ATB-111222-1, 
ZDB-ATB-111222-2, 
ZDB-ATB-111223-1, 
ZDB-ATB-111230-1, 
ZDB-ATB-111230-2, 
ZDB-ATB-120104-1, 
ZDB-ATB-120104-2,AB_310589
ZDB-ATB-120104-3,AB_ 10013606
ZDB-ATB-120104-4, 
ZDB-ATB-120104-5,AB_531892
ZDB-ATB-120104-6,AB_86533
ZDB-ATB-120105-1,AB_ 10013724
ZDB-ATB-120105-2,AB_223647
ZDB-ATB-120111-1,AB_1163440
ZDB-ATB-120117-1,AB_2074625
ZDB-ATB-120118-1,AB_223649
ZDB-ATB-120118-2,AB_223651
ZDB-ATB-120120-1, 
ZDB-ATB-120124-1, 
ZDB-ATB-120125-1, 
ZDB-ATB-120126-1, 
ZDB-ATB-120126-2, 
ZDB-ATB-120126-3, 
ZDB-ATB-120126-5, 
ZDB-ATB-120126-6, 
ZDB-ATB-120127-1, 
ZDB-ATB-120131-1, 
ZDB-ATB-120131-2, 
ZDB-ATB-120202-1, 
ZDB-ATB-120202-2, 
ZDB-ATB-120203-1, 
ZDB-ATB-120203-2, 
ZDB-ATB-120207-1,AB_327951
ZDB-ATB-120207-1,AB_ 10013725
ZDB-ATB-120207-2,AB_ 10013726
ZDB-ATB-120207-3,AB_10013727
ZDB-ATB-120208-1, 
ZDB-ATB-120208-2, 
ZDB-ATB-120217-1,AB_639700
ZDB-ATB-120221-1,AB_261663
ZDB-ATB-120221-2,AB_1310542
ZDB-ATB-120221-2,AB_63322
ZDB-ATB-120221-3,AB_310402
ZDB-ATB-120221-4,AB_331772
ZDB-ATB-120223-1,AB_2139351
ZDB-ATB-120223-2,AB_528457
ZDB-ATB-120223-2,AB_261302
ZDB-ATB-120224-1, 
ZDB-ATB-120229-1,AB_1079831
ZDB-ATB-120301-1,AB_10013631
ZDB-ATB-120313-1,AB_2126544
ZDB-ATB-120313-2,AB_86672
ZDB-ATB-120322-1,AB_2261274
ZDB-ATB-120322-2,AB_1657437
ZDB-ATB-120326-1,AB_2260581
ZDB-ATB-120328-1,AB_261632
ZDB-ATB-120328-2, 
ZDB-ATB-100218-1,AB_310624
ZDB-ATB-120328-4,AB_431770
ZDB-ATB-120328-5,AB_630926
ZDB-ATB-120328-6,AB_2225049
ZDB-ATB-120402-1,AB_10000343
ZDB-ATB-120404-1,AB_307256
ZDB-ATB-120404-2,AB_390779
ZDB-ATB-120405-1, 
ZDB-ATB-120405-2,AB_ 10013740
ZDB-ATB-120405-3,AB_390780
ZDB-ATB-120409-1, 
ZDB-ATB-120413-1,AB_10000485
ZDB-ATB-120413-2, 
ZDB-ATB-120413-3, 
ZDB-ATB-120413-4,AB_2204265
ZDB-ATB-120413-5,AB_2204256
ZDB-ATB-120418-1,
ZDB-ATB-120502-1,AB_2156887
ZDB-ATB-120503-1,AB_476830
ZDB-ATB-120503-2,AB_305405
ZDB-ATB-120503-3, 
ZDB-ATB-120504-1,AB_10013627
ZDB-ATB-120504-2, 
ZDB-ATB-120504-3, 
ZDB-ATB-120504-4, 
ZDB-ATB-120508-1,AB_ 10013741
ZDB-ATB-120508-2, 
ZDB-ATB-120509-1,AB_579793
ZDB-ATB-120517-1,AB_631317
ZDB-ATB-120517-2,AB_2242641
ZDB-ATB-120517-3,AB_2247684
ZDB-ATB-120518-1,AB_632289
ZDB-ATB-120523-1,AB_355275
ZDB-ATB-120604-1, 
ZDB-ATB-120606-1,AB_ 10013640
ZDB-ATB-120607-1,AB_213109
ZDB-ATB-120608-1,AB_805240
ZDB-ATB-120612-1, 
ZDB-ATB-120612-2,AB_ 10013742
ZDB-ATB-120613-1,AB_10013602
ZDB-ATB-120613-2,
ZDB-ATB-120613-2,AB_771475
ZDB-ATB-120613-3, 
ZDB-ATB-120613-4,AB_2039202
ZDB-ATB-120614-1,AB_2168968
ZDB-ATB-120614-2,AB_827462
ZDB-ATB-120614-3, 
ZDB-ATB-120620-1,AB_2062200
ZDB-ATB-120621-1,AB_330892
ZDB-ATB-120621-2, 
ZDB-ATB-120621-3,AB_477627
ZDB-ATB-120621-3,AB_306239
ZDB-ATB-120621-3,AB_628437
ZDB-ATB-120621-3,AB_10013485
ZDB-ATB-120621-3,AB_94843
ZDB-ATB-120621-3,AB_ 10013743
ZDB-ATB-120621-3,AB_ 10013744
ZDB-ATB-120621-4,AB_471034
ZDB-ATB-120621-4,AB_10002730
ZDB-ATB-120627-1,AB_ 10013625
ZDB-ATB-120627-1,AB_10013625
ZDB-ATB-120629-1, 
ZDB-ATB-120629-2, 
ZDB-ATB-120709-1, 
ZDB-ATB-120709-2, 
ZDB-ATB-120711-1,AB_2155693
ZDB-ATB-120718-1,AB_476667
ZDB-ATB-120720-1,AB_2134167
ZDB-ATB-120720-2,AB_2080931
ZDB-ATB-120720-3,AB_260834
ZDB-ATB-120720-4,AB_ 10013605
ZDB-ATB-120720-5,AB_2133022
ZDB-ATB-120724-1,
ZDB-ATB-120724-2,
ZDB-ATB-120724-3,AB_895405
ZDB-ATB-120726-1, 
ZDB-ATB-120726-2,AB_880494
ZDB-ATB-120726-3,AB_310620
ZDB-ATB-120726-4,AB_836882
ZDB-ATB-120726-5,AB_916252
ZDB-ATB-120726-6,AB_492621
ZDB-ATB-120801-1, 
ZDB-ATB-120801-2, 
ZDB-ATB-120807-1,AB_330744
ZDB-ATB-120808-3,AB_2156491
ZDB-ATB-120808-4, 
ZDB-ATB-120808-5,AB_ 10013633
ZDB-ATB-120808-6,AB_331659
ZDB-ATB-120815-1, 
ZDB-ATB-120817-1,AB_310016
ZDB-ATB-120817-2,AB_ 10013641
ZDB-ATB-120817-3,AB_331697
ZDB-ATB-120817-4,AB_1603684
ZDB-ATB-120820-1,AB_ 10013822
ZDB-ATB-120822-1,AB_59726
ZDB-ATB-120822-2,
ZDB-ATB-120822-3, 
ZDB-ATB-120822-4,AB_91042
ZDB-ATB-120827-1,AB_10013603
ZDB-ATB-120827-2, 
ZDB-ATB-120827-3, 
ZDB-ATB-120827-4, 
ZDB-ATB-120906-1, 
ZDB-ATB-120907-1,AB_2274121
ZDB-ATB-120910-1,AB_1143675
ZDB-ATB-120910-2,AB_2287922
ZDB-ATB-120911-1, 
ZDB-ATB-120911-2,
ZDB-ATB-120913-1,AB_2118872
ZDB-ATB-120919-1, 
ZDB-ATB-120925-1,AB_626632
ZDB-ATB-120925-2,AB_447638
ZDB-ATB-120928-1, 
ZDB-ATB-120928-2, 
ZDB-ATB-121002-1,AB_92249
ZDB-ATB-121003-1,AB_2092378
ZDB-ATB-121005-1,AB_2238100
ZDB-ATB-121005-2, 
ZDB-ATB-121005-3,AB_778867
ZDB-ATB-121005-3,AB_ 10013754
ZDB-ATB-121009-1, 
ZDB-ATB-121011-1, 
ZDB-ATB-121011-2, 
ZDB-ATB-121011-3, 
ZDB-ATB-121024-1,AB_671714
ZDB-ATB-121024-2,AB_1267177
ZDB-ATB-121024-2,AB_ 10013745
ZDB-ATB-121024-3,AB_562184
ZDB-ATB-121024-4,AB_2105466
ZDB-ATB-121024-5,AB_2290195
ZDB-ATB-121025-1,AB_887768
ZDB-ATB-121026-1,AB_2255933
ZDB-ATB-121026-2,AB_961276
ZDB-ATB-121030-1, 
ZDB-ATB-121030-2, 
ZDB-ATB-121030-3, 
ZDB-ATB-121030-4,AB_409029
ZDB-ATB-121030-5, 
ZDB-ATB-121031-1, 
ZDB-ATB-121031-2,AB_442100
ZDB-ATB-121031-4,AB_564002
ZDB-ATB-121031-5,AB_442107
ZDB-ATB-121101-1,AB_2256771
ZDB-ATB-121101-2,AB_94235
ZDB-ATB-121101-4, 
ZDB-ATB-121105-1, 
ZDB-ATB-121105-2, 
ZDB-ATB-121105-3, 
ZDB-ATB-121106-1,AB_ 10013746
ZDB-ATB-121106-2,AB_627865
ZDB-ATB-121106-3,AB_2134131
ZDB-ATB-121107-1, 
ZDB-ATB-121114-1,AB_327847
ZDB-ATB-121114-3,AB_327873
ZDB-ATB-121114-4,AB_327808
ZDB-ATB-121115-1,AB_992741
ZDB-ATB-121116-1,
ZDB-ATB-121116-2,
ZDB-ATB-121116-3,
ZDB-ATB-121119-1,AB_867692
ZDB-ATB-121119-2,AB_2258842
ZDB-ATB-121119-3,AB_2227757
ZDB-ATB-121119-4,AB_880198
ZDB-ATB-121119-5,AB_1925252
ZDB-ATB-121119-6,AB_1309981
ZDB-ATB-121119-7,AB_946195
ZDB-ATB-121119-8,AB_796155
ZDB-ATB-121120-1,AB_302613
ZDB-ATB-121120-2,AB_442796
ZDB-ATB-121120-3,AB_310308
ZDB-ATB-121120-4,AB_2277971
ZDB-ATB-121120-5,AB_ 10013747
ZDB-ATB-121127-1,AB_661524
ZDB-ATB-121127-2,AB_2139682
ZDB-ATB-121127-3,AB_2250564
ZDB-ATB-121127-4,AB_10013480
ZDB-ATB-121128-1,AB_331534
ZDB-ATB-121128-10,AB_2269503
ZDB-ATB-121128-2,AB_2290281
ZDB-ATB-121128-3,AB_ 10013749
ZDB-ATB-121128-4,AB_2080323
ZDB-ATB-121128-5,AB_331479
ZDB-ATB-121128-6,AB_2118009
ZDB-ATB-121128-8,AB_1859782
ZDB-ATB-121128-9,AB_1669327
ZDB-ATB-121128-9,AB_2142654
ZDB-ATB-121129-1,AB_2281083
ZDB-ATB-121129-2,AB_258824
ZDB-ATB-121129-3,AB_1267344
ZDB-ATB-121129-3,AB_1658549
ZDB-ATB-121129-4,AB_305544
ZDB-ATB-121130-1,AB_ 10013751
ZDB-ATB-121203-1,AB_ 10013752
ZDB-ATB-121203-1,AB_ 10013752
ZDB-ATB-121203-2,
ZDB-ATB-121203-3,AB_ 10013753
ZDB-ATB-121204-1,AB_ 10013750
ZDB-ATB-121205-1,AB_726362
ZDB-ATB-121205-2,AB_390810
ZDB-ATB-121205-3,AB_329828
ZDB-ATB-121207-1,AB_1842211
ZDB-ATB-121207-2,AB_1839549
ZDB-ATB-121207-3,AB_447153
ZDB-ATB-121207-4,AB_330955
ZDB-ATB-121207-5,
ZDB-ATB-121210-1,AB_2172866
ZDB-ATB-121210-2,AB_880078
ZDB-ATB-121210-5,AB_95185
ZDB-ATB-121210-6,AB_331748
ZDB-ATB-121210-7,AB_331679
ZDB-ATB-121211-1,AB_ 10013823
ZDB-ATB-121211-3,AB_2234573
ZDB-ATB-121211-4,
ZDB-ATB-121213-1,
ZDB-ATB-121217-1,AB_2198258
ZDB-ATB-121217-2,AB_ 10013824
ZDB-ATB-121218-1,AB_91545
ZDB-ATB-121218-2,AB_2108517
ZDB-ATB-121219-1,AB_1113686
ZDB-ATB-121220-1,AB_260011
ZDB-ATB-121220-2,
ZDB-ATB-121220-3,
ZDB-ATB-121220-4,
ZDB-ATB-121220-5,AB_1549596
ZDB-ATB-130103-2,AB_1957532
ZDB-ATB-130103-3,
ZDB-ATB-130103-4,
ZDB-ATB-130104-1,AB_2127209
ZDB-ATB-130108-1,AB_370784
ZDB-ATB-130108-2,AB_1129209
ZDB-ATB-130108-3,AB_2181298
ZDB-ATB-130108-4,AB_2182039
ZDB-ATB-130110-1,
ZDB-ATB-130111-1,AB_399581
ZDB-ATB-130111-2,AB_2104842
ZDB-ATB-130114-1,
ZDB-ATB-130115-1,AB_91556
ZDB-ATB-130115-2,AB_941726
ZDB-ATB-130116-1,
ZDB-ATB-130116-2,AB_261041
ZDB-ATB-130116-3,AB_1501994
ZDB-ATB-130116-4,AB_1501996
ZDB-ATB-130117-1,
ZDB-ATB-130118-1,AB_2298772
ZDB-ATB-130118-2,AB_632345
ZDB-ATB-130118-3,
ZDB-ATB-130122-1,AB_2271850
ZDB-ATB-130123-1,
ZDB-ATB-130123-2,AB_2148908
ZDB-ATB-130123-3,
ZDB-ATB-130125-1,AB_2215308
ZDB-ATB-130125-2,AB_2038247
ZDB-ATB-130128-1,
ZDB-ATB-130128-2,
ZDB-ATB-130128-3,AB_331169
ZDB-ATB-130129-1,AB_2155788
ZDB-ATB-130129-2,AB_2160375
ZDB-ATB-130129-3,AB_94882
ZDB-ATB-130129-4,
ZDB-ATB-130201-1,
ZDB-ATB-130207-2,AB_298943
ZDB-ATB-130207-3,
ZDB-ATB-130207-4,AB_327931
ZDB-ATB-130207-5,
ZDB-ATB-130207-6,AB_331606
ZDB-ATB-130207-7,AB_777108
ZDB-ATB-130212-1,AB_2260303
ZDB-ATB-130212-2,AB_2126254
ZDB-ATB-130213-1,AB_1268064
ZDB-ATB-130213-2,AB_397265
ZDB-ATB-130213-3,AB_1141661
ZDB-ATB-130213-4,
ZDB-ATB-130214-1,AB_1855380
ZDB-ATB-130215-1,
ZDB-ATB-130218-1,
ZDB-ATB-130218-2,
ZDB-ATB-130218-3,
ZDB-ATB-130218-4,AB_663339
ZDB-ATB-130218-5,AB_1671618
ZDB-ATB-130220-1,AB_1657438
ZDB-ATB-130220-2,AB_881233
ZDB-ATB-130220-3,AB_1657444
ZDB-ATB-130220-4,AB_2297894
ZDB-ATB-130221-1,
ZDB-ATB-130225-1,AB_477483
ZDB-ATB-130225-2,AB_2287635
ZDB-ATB-130227-1,AB_2066293
ZDB-ATB-130227-2,
ZDB-ATB-130227-3,AB_564345
ZDB-ATB-130228-1,
ZDB-ATB-130228-2,AB_331671
 ZDB-ATB-130308-1,
ZDB-ATB-130311-2,AB_2283035
ZDB-ATB-130312-1,AB_2205316
ZDB-ATB-130313-1,AB_2241932
ZDB-ATB-130315-1,AB_2170708
ZDB-ATB-130318-1,AB_444362
ZDB-ATB-130318-2,AB_2275226
ZDB-ATB-130318-3,AB_1269557
ZDB-ATB-130318-4,AB_394817
ZDB-ATB-130320-1,
ZDB-ATB-130320-10,
ZDB-ATB-130320-11,
ZDB-ATB-130320-12,
ZDB-ATB-130320-13,
ZDB-ATB-130320-14,
ZDB-ATB-130320-15,
ZDB-ATB-130320-16,
ZDB-ATB-130320-17,
ZDB-ATB-130320-18,AB_91683
ZDB-ATB-130320-19,
ZDB-ATB-130320-2,
ZDB-ATB-130320-20,
ZDB-ATB-130320-21,
ZDB-ATB-130320-3,
ZDB-ATB-130320-4,
ZDB-ATB-130320-5,
ZDB-ATB-130320-6,
ZDB-ATB-130320-7,
ZDB-ATB-130320-8,
ZDB-ATB-130320-9,
ZDB-ATB-130321-1,
ZDB-ATB-130321-10,
ZDB-ATB-130321-11,
ZDB-ATB-130321-12,
ZDB-ATB-130321-2,
ZDB-ATB-130321-3,
ZDB-ATB-130321-4,
ZDB-ATB-130321-5,
ZDB-ATB-130321-6,
ZDB-ATB-130321-7,
ZDB-ATB-130321-8,
ZDB-ATB-130321-9,
ZDB-ATB-130322-1,
ZDB-ATB-130325-1,
ZDB-ATB-130328-1,
ZDB-ATB-130328-2,
ZDB-ATB-130328-3,
ZDB-ATB-130328-4,AB_2250969
ZDB-ATB-130328-5,
ZDB-ATB-130328-6,
ZDB-ATB-130328-7,AB_291638
ZDB-ATB-130401-1,AB_2187981
ZDB-ATB-130403-1,
ZDB-ATB-130403-3,AB_1141089
ZDB-ATB-130403-4,AB_896171
ZDB-ATB-130403-5,AB_968450
ZDB-ATB-130405-1,
ZDB-ATB-130408-1,AB_653088
ZDB-ATB-130408-2,
ZDB-ATB-130408-3,AB_1657458
ZDB-ATB-130408-4,AB_1193550
ZDB-ATB-130408-5,AB_2094722
ZDB-ATB-130408-6,AB_2120611
ZDB-ATB-130410-1,
ZDB-ATB-130415-2,AB_477345
ZDB-ATB-130415-3,AB_331355
ZDB-ATB-130416-1,AB_10000320
ZDB-ATB-130417-1,
ZDB-ATB-130417-2,
ZDB-ATB-130417-3,
ZDB-ATB-130418-1,
ZDB-ATB-130418-2,AB_881429
ZDB-ATB-130419-1,
ZDB-ATB-130422-1,AB_1567428
ZDB-ATB-130424-1,AB_528504
ZDB-ATB-130424-2,AB_882596
ZDB-ATB-130424-3,
ZDB-ATB-130424-4,AB_2131126
ZDB-ATB-130426-1,AB_2250373
ZDB-ATB-130426-3,AB_1843706
ZDB-ATB-130429-1,AB_2049872
ZDB-ATB-130429-2,AB_2212984
ZDB-ATB-130501-1,AB_2202162
ZDB-ATB-130501-2,
ZDB-ATB-130501-3,
ZDB-ATB-130501-4,
ZDB-ATB-130501-5,
ZDB-ATB-130501-6,AB_2187919
ZDB-ATB-130501-7,
ZDB-ATB-130502-1,AB_2302187
ZDB-ATB-130507-1,AB_1578093
ZDB-ATB-130508-1,AB_2183717
ZDB-ATB-130508-2,AB_1218203
ZDB-ATB-130509-1,AB_2111641
ZDB-ATB-130510-1,AB_2042753
ZDB-ATB-130510-2,AB_2086400
ZDB-ATB-130513-2,
ZDB-ATB-130513-3,
ZDB-ATB-130514-1,AB_941810
ZDB-ATB-130515-1,
ZDB-ATB-130517-1,
ZDB-ATB-130517-2,AB_843283
ZDB-ATB-130520-1,AB_447598
ZDB-ATB-130520-2,AB_302536
ZDB-ATB-130521-3,AB_2190413
ZDB-ATB-130523-1,AB_325502
ZDB-ATB-130523-2,AB_11232803
ZDB-ATB-130523-3,AB_2252787
ZDB-ATB-130524-4,
ZDB-ATB-130528-1,
ZDB-ATB-130528-2,AB_444142
ZDB-ATB-130531-1,
ZDB-ATB-130604-1,AB_261811
ZDB-ATB-130605-1,AB_262157
ZDB-ATB-130611-1,
ZDB-ATB-130611-2,
ZDB-ATB-130611-3,
ZDB-ATB-130611-4,AB_398291
ZDB-ATB-130611-5,AB_304523
ZDB-ATB-130611-6,
ZDB-ATB-130611-7,
ZDB-ATB-130611-8,
ZDB-ATB-130618-1,AB_2239022
ZDB-ATB-130619-1,AB_2261691
ZDB-ATB-130619-2,AB_641106
ZDB-ATB-130619-3,
ZDB-ATB-130624-1,AB_880345
ZDB-ATB-130628-1,AB_2141283
ZDB-ATB-130628-2,AB_628302
ZDB-ATB-130628-3,AB_2063948
ZDB-ATB-130628-4,AB_518526
ZDB-ATB-130702-1,AB_447645
ZDB-ATB-130708-1,AB_2200505
ZDB-ATB-130709-1,AB_2158565
ZDB-ATB-130709-2,AB_2284224
ZDB-ATB-130709-4,AB_838957
ZDB-ATB-130709-5,AB_1961886
ZDB-ATB-130717-1,AB_2101325
ZDB-ATB-130717-2,AB_2262427
ZDB-ATB-130717-3,
ZDB-ATB-130719-1,
ZDB-ATB-130719-2,
ZDB-ATB-130722-1,
ZDB-ATB-130723-1,AB_2063803
ZDB-ATB-130724-1,AB_10664937
ZDB-ATB-130726-1,AB_528426
ZDB-ATB-130726-2,AB_631992
ZDB-ATB-130726-3,AB_631941
ZDB-ATB-130726-4,AB_1524464
ZDB-ATB-130726-5,AB_10630306
ZDB-ATB-130730-1,AB_2086634
ZDB-ATB-130730-2,AB_1640236
ZDB-ATB-130731-1,AB_2142543
ZDB-ATB-130731-3,
ZDB-ATB-130806-1,AB_881955
ZDB-ATB-130807-1,AB_776619
ZDB-ATB-130807-2,AB_259739
ZDB-ATB-130808-1,AB_2252313
ZDB-ATB-130808-2,AB_627224
ZDB-ATB-130809-1,AB_10634805
ZDB-ATB-130809-2,AB_177440
ZDB-ATB-130813-1,AB_94632
ZDB-ATB-130816-1,AB_945552
ZDB-ATB-130816-2,AB_1270594
ZDB-ATB-130820-1,AB_2163610
ZDB-ATB-130820-2,AB_2059502
ZDB-ATB-130821-1,AB_443014
ZDB-ATB-130822-1,AB_570666
ZDB-ATB-130822-2,AB_10668660
ZDB-ATB-130823-2,
ZDB-ATB-130827-1,AB_299204
ZDB-ATB-130829-1,AB_882615
ZDB-ATB-130829-2,
ZDB-ATB-130829-3,
ZDB-ATB-130829-4,
ZDB-ATB-130829-5,AB_90493
ZDB-ATB-130829-6,
ZDB-ATB-130829-7,AB_476879
ZDB-ATB-130829-8,
ZDB-ATB-130829-9,
ZDB-ATB-130830-2,
ZDB-ATB-130830-3,
ZDB-ATB-130830-4,AB_2126133
ZDB-ATB-130910-1,AB_1079426
ZDB-ATB-130911-1,
ZDB-ATB-130912-1,AB_2105699
ZDB-ATB-130912-2,AB_10973343
ZDB-ATB-130912-3,
ZDB-ATB-130912-4,AB_778890
ZDB-ATB-130916-1,AB_331250
ZDB-ATB-130916-2,AB_306520
ZDB-ATB-130916-3,AB_2098236
ZDB-ATB-130916-4,AB_10631731
ZDB-ATB-130916-5,AB_329830
ZDB-ATB-130917-1,AB_11178441
ZDB-ATB-130917-2,
ZDB-ATB-130917-3,AB_2108176
ZDB-ATB-130917-4,
ZDB-ATB-130918-1,
ZDB-ATB-130918-2,
ZDB-ATB-130918-3,
ZDB-ATB-130918-4,
ZDB-ATB-130920-1,AB_2293388
ZDB-ATB-130923-1,AB_2050278
ZDB-ATB-130923-2,AB_732562
ZDB-ATB-130926-1,
ZDB-ATB-130926-2,
ZDB-ATB-131002-1,AB_2172392
ZDB-ATB-131002-2,AB_10631870
ZDB-ATB-131003-1,
ZDB-ATB-131003-2,AB_10633139
ZDB-ATB-131009-1,AB_2192606
ZDB-ATB-131015-1,AB_355110
ZDB-ATB-131016-1,AB_2281049
ZDB-ATB-131016-2,AB_2202717
ZDB-ATB-131016-3,AB_297679
ZDB-ATB-131017-1,AB_138737
ZDB-ATB-131018-1,
ZDB-ATB-131018-2,
ZDB-ATB-131018-3,
ZDB-ATB-131023-1,AB_2122549
ZDB-ATB-131023-2,AB_259183
ZDB-ATB-131023-3,AB_2040196
ZDB-ATB-131025-1,AB_10612905
ZDB-ATB-131028-1,AB_670901
ZDB-ATB-131031-1,AB_10631550
ZDB-ATB-131105-1,AB_10631727
ZDB-ATB-131113-1,
ZDB-ATB-131120-2,
ZDB-ATB-131120-3,
ZDB-ATB-131120-4,AB_2130516
ZDB-ATB-131120-5,AB_2269801
ZDB-ATB-131120-6,AB_390722
ZDB-ATB-131121-1,
ZDB-ATB-131121-2,
ZDB-ATB-131121-3,AB_261690
ZDB-ATB-131121-4,
ZDB-ATB-131121-5,
ZDB-ATB-131121-8,AB_10630728
ZDB-ATB-131122-1,AB_2108942
ZDB-ATB-131125-1,AB_2070042
ZDB-ATB-131126-1,AB_2075041
ZDB-ATB-131126-2,AB_330013
ZDB-ATB-131203-1,AB_2251134
ZDB-ATB-131203-2,
ZDB-ATB-131204-1,AB_1674965
ZDB-ATB-131209-1,AB_393678
ZDB-ATB-131210-1,
ZDB-ATB-131217-1,AB_2257984
ZDB-ATB-131217-2,AB_883075
ZDB-ATB-131217-3,AB_10000340
ZDB-ATB-131217-4,AB_259000
ZDB-ATB-131217-5,AB_90797
ZDB-ATB-131217-6,AB_261446
ZDB-ATB-131217-7,AB_572270
ZDB-ATB-131217-8,AB_2216424
ZDB-ATB-131218-1,AB_11008994
ZDB-ATB-131219-1,AB_955810
ZDB-ATB-131219-2,
ZDB-ATB-131220-1,AB_309898
ZDB-ATB-131220-2,AB_568805
ZDB-ATB-131220-3,AB_331034
ZDB-ATB-131223-1,AB_10620242
ZDB-ATB-131223-2,AB_1963094
ZDB-ATB-131223-3,AB_10632498
ZDB-ATB-131226-1,
ZDB-ATB-131226-2,
ZDB-ATB-131227-1,AB_213554
ZDB-ATB-131227-2,AB_2061389
ZDB-ATB-131230-1,AB_944315
ZDB-ATB-131230-2,
ZDB-ATB-131231-1,
ZDB-ATB-140106-1,AB_2236895
ZDB-ATB-140108-1,AB_309966
ZDB-ATB-140110-1,AB_11163528
ZDB-ATB-140113-1,
ZDB-ATB-140114-1,AB_2257693
ZDB-ATB-140115-1,
ZDB-ATB-140115-2,AB_1031003
ZDB-ATB-140116-1,AB_2118193
ZDB-ATB-140116-2,AB_396559
ZDB-ATB-140116-3,AB_11034968
ZDB-ATB-140121-1,AB_2287562
ZDB-ATB-140121-2,AB_945626
ZDB-ATB-140121-3,AB_659944
ZDB-ATB-140121-4,
ZDB-ATB-140122-1,AB_2131510
ZDB-ATB-140131-1,
ZDB-ATB-140131-2,
ZDB-ATB-140217-1,AB_2307327
ZDB-ATB-140217-2,AB_2307328
ZDB-ATB-140217-3,AB_2307329
ZDB-ATB-140217-4,AB_1963137
ZDB-ATB-140218-1,
ZDB-ATB-140218-2,
ZDB-ATB-140218-3,
ZDB-ATB-140219-1,AB_662905
ZDB-ATB-140220-1,
ZDB-ATB-140221-1,AB_632554
ZDB-ATB-140221-2,
ZDB-ATB-140221-3,
ZDB-ATB-140227-1,AB_2291692
ZDB-ATB-140227-2,AB_310649
ZDB-ATB-140227-3,AB_1078935
ZDB-ATB-140227-4,AB_93387
ZDB-ATB-140303-1,
ZDB-ATB-140303-2,AB_777977
ZDB-ATB-140303-3,AB_778352
ZDB-ATB-140303-4,AB_628349
ZDB-ATB-140303-5,AB_2255136
ZDB-ATB-140304-1,AB_2264521
