sanger_preinput_feature_abbrev|sanger_preinput_gene_zdb_id|sanger_preinput_test
sa33732|ZDB-GENE-060526-349|-060526-349
sa33738|ZDB-GENE-030131-5345|-030131-5345
sa33742|ZDB-GENE-031006-6|-031006-6
sa33751|ZDB-GENE-050410-2|-050410-2
sa33759|ZDB-GENE-070209-59|-070209-59
sa33760|ZDB-GENE-050208-92|-050208-92
sa33761|ZDB-GENE-050208-92|-050208-92
sa33765|ZDB-GENE-080917-23|-080917-23
sa33769|ZDB-GENE-021206-4|-021206-4
sa33793|ZDB-GENE-040426-2822|-040426-2822
sa33796|ZDB-GENE-100701-2|-100701-2
sa33797|ZDB-GENE-131127-375|-131127-375
sa33802|ZDB-GENE-030425-1|-030425-1
sa33807|ZDB-GENE-080929-1|-080929-1
sa33809|ZDB-GENE-120215-21|-120215-21
sa33810|ZDB-GENE-040426-1355|-040426-1355
sa33813|ZDB-GENE-101130-1|-101130-1
sa33824|ZDB-GENE-080924-1|-080924-1
sa33828|ZDB-GENE-090916-2|-090916-2
sa33833|ZDB-GENE-120328-4|-120328-4
sa33849|ZDB-GENE-120215-125|-120215-125
sa33856|ZDB-GENE-030829-19|-030829-19
sa33868|ZDB-GENE-051113-196|-051113-196
sa33883|ZDB-GENE-130530-876|-130530-876
sa33897|ZDB-GENE-050506-134|-050506-134
sa33898|ZDB-GENE-050506-134|-050506-134
sa33902|ZDB-GENE-050913-8|-050913-8
sa33906|ZDB-GENE-070718-6|-070718-6
sa33922|ZDB-GENE-030131-2427|-030131-2427
sa33932|ZDB-GENE-110621-2|-110621-2
sa33935|ZDB-GENE-060524-4|-060524-4
sa33937|ZDB-GENE-041008-187|-041008-187
sa33938|ZDB-GENE-040426-2904|-040426-2904
sa33939|ZDB-GENE-071218-2|-071218-2
sa33940|ZDB-GENE-050309-79|-050309-79
sa33943|ZDB-GENE-050320-9|-050320-9
sa33946|ZDB-GENE-131127-539|-131127-539
sa33948|ZDB-GENE-990415-63|-990415-63
sa33950|ZDB-GENE-080818-1|-080818-1
sa33966|ZDB-GENE-081105-141|-081105-141
sa33967|ZDB-GENE-030131-8179|-030131-8179
sa33971|ZDB-GENE-070806-24|-070806-24
sa33972|ZDB-GENE-070806-30|-070806-30
sa33983|ZDB-GENE-131121-461|-131121-461
sa33984|ZDB-GENE-031001-8|-031001-8
sa33995|ZDB-GENE-060531-98|-060531-98
sa33998|ZDB-GENE-040426-791|-040426-791
sa34006|ZDB-GENE-080218-18|-080218-18
sa34018|ZDB-GENE-050307-1|-050307-1
sa34039|ZDB-GENE-030131-899|-030131-899
sa34068|ZDB-GENE-121009-2|-121009-2
sa34084|ZDB-GENE-030131-3294|-030131-3294
sa34086|ZDB-GENE-080402-8|-080402-8
sa34090|ZDB-GENE-040724-263|-040724-263
sa34096|ZDB-GENE-050320-30|-050320-30
sa34102|ZDB-GENE-070112-2362|-070112-2362
sa34109|ZDB-GENE-990415-85|-990415-85
sa34114|ZDB-GENE-030131-8076|-030131-8076
sa34121|ZDB-GENE-030131-1531|-030131-1531
sa34125|ZDB-GENE-040426-1876|-040426-1876
sa34126|ZDB-GENE-040426-1876|-040426-1876
sa34139|ZDB-GENE-040426-1211|-040426-1211
sa34142|ZDB-GENE-110411-149|-110411-149
sa34147|ZDB-GENE-030131-9008|-030131-9008
sa34155|ZDB-GENE-040426-1552|-040426-1552
sa34168|ZDB-GENE-060503-736|-060503-736
sa34177|ZDB-GENE-050327-73|-050327-73
sa34189|ZDB-GENE-070112-2342|-070112-2342
sa34196|ZDB-GENE-041111-255|-041111-255
sa34205|ZDB-GENE-060824-4|-060824-4
sa34206|ZDB-GENE-050417-342|-050417-342
sa34212|ZDB-GENE-070813-1|-070813-1
sa34221|ZDB-GENE-030131-5517|-030131-5517
sa34232|ZDB-GENE-131125-70|-131125-70
sa34236|ZDB-GENE-030131-7577|-030131-7577
sa34238|ZDB-GENE-081119-1|-081119-1
sa34252|ZDB-GENE-040426-1562|-040426-1562
sa34267|ZDB-GENE-030131-8004|-030131-8004
sa34279|ZDB-GENE-040831-4|-040831-4
sa34280|ZDB-GENE-060312-8|-060312-8
sa34286|ZDB-GENE-030131-7868|-030131-7868
sa34296|ZDB-GENE-071116-5|-071116-5
sa34297|ZDB-GENE-081104-33|-081104-33
sa34302|ZDB-GENE-090529-5|-090529-5
sa34304|ZDB-GENE-030616-61|-030616-61
sa34308|ZDB-GENE-070613-1|-070613-1
sa34311|ZDB-GENE-081104-318|-081104-318
sa34312|ZDB-GENE-070112-922|-070112-922
sa34313|ZDB-GENE-070112-922|-070112-922
sa34318|ZDB-GENE-081105-163|-081105-163
sa34322|ZDB-GENE-081105-71|-081105-71
sa34334|ZDB-GENE-081105-26|-081105-26
sa34339|ZDB-GENE-040912-111|-040912-111
sa34340|ZDB-GENE-040912-111|-040912-111
sa34347|ZDB-GENE-060503-173|-060503-173
sa34351|ZDB-GENE-081104-526|-081104-526
sa34354|ZDB-GENE-040801-155|-040801-155
sa34355|ZDB-GENE-040801-155|-040801-155
sa34357|ZDB-GENE-081104-437|-081104-437
sa34361|ZDB-GENE-040718-263|-040718-263
sa34387|ZDB-GENE-081021-1|-081021-1
sa34395|ZDB-GENE-081105-161|-081105-161
sa34401|ZDB-GENE-060503-19|-060503-19
sa34410|ZDB-GENE-030131-6083|-030131-6083
sa34422|ZDB-GENE-060526-371|-060526-371
sa34424|ZDB-GENE-060824-6|-060824-6
sa34426|ZDB-GENE-030424-1|-030424-1
sa34444|ZDB-GENE-050114-2|-050114-2
sa34447|ZDB-GENE-080522-1|-080522-1
sa34451|ZDB-GENE-131127-532|-131127-532
sa34453|ZDB-GENE-081105-73|-081105-73
sa34458|ZDB-GENE-030219-130|-030219-130
sa34469|ZDB-GENE-030616-396|-030616-396
sa34473|ZDB-GENE-080723-31|-080723-31
sa34478|ZDB-GENE-030131-8546|-030131-8546
sa34485|ZDB-GENE-030131-2974|-030131-2974
sa34490|ZDB-GENE-030131-6367|-030131-6367
sa34492|ZDB-GENE-030131-6313|-030131-6313
sa34494|ZDB-GENE-040426-1060|-040426-1060
sa34496|ZDB-GENE-070523-1|-070523-1
sa34497|ZDB-GENE-040426-2485|-040426-2485
sa34503|ZDB-GENE-040718-116|-040718-116
sa34508|ZDB-GENE-060818-1|-060818-1
sa34512|ZDB-GENE-081104-237|-081104-237
sa34519|ZDB-GENE-040621-1|-040621-1
sa34521|ZDB-GENE-051127-31|-051127-31
sa34528|ZDB-GENE-040219-10|-040219-10
sa34530|ZDB-GENE-020930-1|-020930-1
sa34540|ZDB-GENE-070912-208|-070912-208
sa34541|ZDB-GENE-070912-207|-070912-207
sa34543|ZDB-GENE-031118-14|-031118-14
sa34544|ZDB-GENE-030131-4960|-030131-4960
sa34551|ZDB-GENE-050306-22|-050306-22
sa34554|ZDB-GENE-051010-1|-051010-1
sa34557|ZDB-GENE-081104-83|-081104-83
sa34561|ZDB-GENE-070725-3|-070725-3
sa34562|ZDB-GENE-080204-1|-080204-1
sa34563|ZDB-GENE-030131-9446|-030131-9446
sa34565|ZDB-GENE-060503-213|-060503-213
sa34566|ZDB-GENE-081104-409|-081104-409
sa34573|ZDB-GENE-081104-380|-081104-380
sa34591|ZDB-GENE-040611-3|-040611-3
sa34592|ZDB-GENE-070912-290|-070912-290
sa34593|ZDB-GENE-000426-1|-000426-1
sa34594|ZDB-GENE-000426-1|-000426-1
sa34595|ZDB-GENE-030131-695|-030131-695
sa34597|ZDB-GENE-030616-132|-030616-132
sa34599|ZDB-GENE-030616-515|-030616-515
sa34603|ZDB-GENE-070912-328|-070912-328
sa34606|ZDB-GENE-070628-3|-070628-3
sa34609|ZDB-GENE-040912-31|-040912-31
sa34621|ZDB-GENE-050516-7|-050516-7
sa34631|ZDB-GENE-081105-124|-081105-124
sa34639|ZDB-GENE-070501-8|-070501-8
sa34643|ZDB-GENE-090311-22|-090311-22
sa34652|ZDB-GENE-040426-2139|-040426-2139
sa34655|ZDB-GENE-070912-553|-070912-553
sa34658|ZDB-GENE-071002-1|-071002-1
sa34664|ZDB-GENE-070912-324|-070912-324
sa34665|ZDB-GENE-030131-1264|-030131-1264
sa34666|ZDB-GENE-061013-249|-061013-249
sa34675|ZDB-GENE-040426-1947|-040426-1947
sa34677|ZDB-GENE-070912-148|-070912-148
sa34681|ZDB-GENE-090313-194|-090313-194
sa34682|ZDB-GENE-050107-2|-050107-2
sa34686|ZDB-GENE-081105-56|-081105-56
sa34687|ZDB-GENE-030131-2422|-030131-2422
sa34697|ZDB-GENE-030131-5845|-030131-5845
sa34702|ZDB-GENE-070912-187|-070912-187
sa34709|ZDB-GENE-050119-7|-050119-7
sa34714|ZDB-GENE-081105-17|-081105-17
sa34723|ZDB-GENE-081104-302|-081104-302
sa34725|ZDB-GENE-081104-515|-081104-515
sa34727|ZDB-GENE-030616-413|-030616-413
sa34729|ZDB-GENE-030616-413|-030616-413
sa34731|ZDB-GENE-030616-413|-030616-413
sa34734|ZDB-GENE-030616-413|-030616-413
sa34736|ZDB-GENE-030616-413|-030616-413
sa34741|ZDB-GENE-030113-2|-030113-2
sa34744|ZDB-GENE-030113-2|-030113-2
sa34757|ZDB-GENE-030131-5768|-030131-5768
sa34766|ZDB-GENE-050119-2|-050119-2
sa34770|ZDB-GENE-031010-34|-031010-34
sa34780|ZDB-GENE-061214-4|-061214-4
sa34782|ZDB-GENE-130530-892|-130530-892
sa34785|ZDB-GENE-000508-1|-000508-1
sa34789|ZDB-GENE-050506-110|-050506-110
sa34791|ZDB-GENE-050506-110|-050506-110
sa34815|ZDB-GENE-021212-1|-021212-1
sa34820|ZDB-GENE-050208-62|-050208-62
sa34828|ZDB-GENE-070702-2|-070702-2
sa34835|ZDB-GENE-030131-9460|-030131-9460
sa34838|ZDB-GENE-091117-4|-091117-4
sa34840|ZDB-GENE-091113-4|-091113-4
sa34842|ZDB-GENE-090313-384|-090313-384
sa34850|ZDB-GENE-111011-4|-111011-4
sa34861|ZDB-GENE-030131-6458|-030131-6458
sa34875|ZDB-GENE-040426-1139|-040426-1139
sa34893|ZDB-GENE-041118-16|-041118-16
sa34899|ZDB-GENE-081028-66|-081028-66
sa34902|ZDB-GENE-091204-388|-091204-388
sa34911|ZDB-GENE-091113-23|-091113-23
sa34920|ZDB-GENE-091118-4|-091118-4
sa34934|ZDB-GENE-091204-114|-091204-114
sa34935|ZDB-GENE-091204-270|-091204-270
sa34945|ZDB-GENE-080215-5|-080215-5
sa34950|ZDB-GENE-040930-7|-040930-7
sa34951|ZDB-GENE-040930-7|-040930-7
sa34970|ZDB-GENE-091117-44|-091117-44
sa34974|ZDB-GENE-060413-21|-060413-21
sa34975|ZDB-GENE-091116-85|-091116-85
sa34985|ZDB-GENE-040426-1755|-040426-1755
sa34998|ZDB-GENE-020213-2|-020213-2
sa34999|ZDB-GENE-990415-213|-990415-213
sa35004|ZDB-GENE-021007-1|-021007-1
sa35011|ZDB-GENE-990603-1|-990603-1
sa35020|ZDB-GENE-040426-1888|-040426-1888
sa35033|ZDB-GENE-050309-166|-050309-166
sa35046|ZDB-GENE-080220-11|-080220-11
sa35048|ZDB-GENE-040905-4|-040905-4
sa35049|ZDB-GENE-080225-14|-080225-14
sa35050|ZDB-GENE-120514-1|-120514-1
sa35051|ZDB-GENE-030131-3152|-030131-3152
sa35055|ZDB-GENE-030131-8204|-030131-8204
sa35057|ZDB-GENE-111129-1|-111129-1
sa35060|ZDB-GENE-030131-6117|-030131-6117
sa35061|ZDB-GENE-030131-6117|-030131-6117
sa35062|ZDB-GENE-051107-8|-051107-8
sa35064|ZDB-GENE-030131-5110|-030131-5110
sa35081|ZDB-GENE-030131-5379|-030131-5379
sa35087|ZDB-GENE-980526-124|-980526-124
sa35113|ZDB-GENE-080303-27|-080303-27
sa35114|ZDB-GENE-080303-27|-080303-27
sa35115|ZDB-GENE-080227-13|-080227-13
sa35118|ZDB-GENE-050809-1|-050809-1
sa35133|ZDB-GENE-040801-46|-040801-46
sa35134|ZDB-GENE-050513-2|-050513-2
sa35135|ZDB-GENE-030131-3133|-030131-3133
sa35146|ZDB-GENE-050327-67|-050327-67
sa35166|ZDB-GENE-040426-2574|-040426-2574
sa35171|ZDB-GENE-040718-330|-040718-330
sa35177|ZDB-GENE-120316-1|-120316-1
sa35178|ZDB-GENE-090514-5|-090514-5
sa35187|ZDB-GENE-110603-2|-110603-2
sa35204|ZDB-GENE-030131-9878|-030131-9878
sa35210|ZDB-GENE-040426-869|-040426-869
sa35212|ZDB-GENE-060621-2|-060621-2
sa35214|ZDB-GENE-121214-272|-121214-272
sa35225|ZDB-GENE-080220-45|-080220-45
sa35226|ZDB-GENE-080220-45|-080220-45
sa35228|ZDB-GENE-121214-338|-121214-338
sa35234|ZDB-GENE-060810-80|-060810-80
sa35241|ZDB-GENE-111115-1|-111115-1
sa35246|ZDB-GENE-121214-37|-121214-37
sa35248|ZDB-GENE-030131-1229|-030131-1229
sa35251|ZDB-GENE-040426-698|-040426-698
sa35254|ZDB-GENE-101203-1|-101203-1
sa35270|ZDB-GENE-030131-5533|-030131-5533
sa35278|ZDB-GENE-030131-9651|-030131-9651
sa35279|ZDB-GENE-041014-160|-041014-160
sa35280|ZDB-GENE-041001-137|-041001-137
sa35282|ZDB-GENE-100707-2|-100707-2
sa35288|ZDB-GENE-100318-5|-100318-5
sa35294|ZDB-GENE-100316-6|-100316-6
sa35298|ZDB-GENE-100316-4|-100316-4
sa35300|ZDB-GENE-061103-70|-061103-70
sa35308|ZDB-GENE-130531-15|-130531-15
sa35309|ZDB-GENE-130531-15|-130531-15
sa35315|ZDB-GENE-030131-8092|-030131-8092
sa35322|ZDB-GENE-060616-224|-060616-224
sa35324|ZDB-GENE-100623-1|-100623-1
sa35336|ZDB-GENE-040718-31|-040718-31
sa35339|ZDB-GENE-121130-1|-121130-1
sa35340|ZDB-GENE-121130-1|-121130-1
sa35342|ZDB-GENE-030131-4797|-030131-4797
sa35343|ZDB-GENE-040718-125|-040718-125
sa35346|ZDB-GENE-030131-4487|-030131-4487
sa35351|ZDB-GENE-100716-2|-100716-2
sa35369|ZDB-GENE-130530-569|-130530-569
sa35371|ZDB-GENE-070112-292|-070112-292
sa35372|ZDB-GENE-070112-292|-070112-292
sa35376|ZDB-GENE-090410-5|-090410-5
sa35384|ZDB-GENE-060421-8162|-060421-8162
sa35385|ZDB-GENE-060929-28|-060929-28
sa35386|ZDB-GENE-031113-10|-031113-10
sa35387|ZDB-GENE-040426-1838|-040426-1838
sa35391|ZDB-GENE-070206-3|-070206-3
sa35394|ZDB-GENE-100212-2|-100212-2
sa35395|ZDB-GENE-071120-8|-071120-8
sa35396|ZDB-GENE-081028-59|-081028-59
sa35401|ZDB-GENE-030131-5056|-030131-5056
sa35405|ZDB-GENE-030131-6443|-030131-6443
sa35414|ZDB-GENE-060421-6122|-060421-6122
sa35420|ZDB-GENE-030131-4078|-030131-4078
sa35428|ZDB-GENE-030131-7887|-030131-7887
sa35431|ZDB-GENE-050417-337|-050417-337
sa35433|ZDB-GENE-030131-9858|-030131-9858
sa35442|ZDB-GENE-000816-1|-000816-1
sa35443|ZDB-GENE-090313-63|-090313-63
sa35445|ZDB-GENE-090313-119|-090313-119
sa35447|ZDB-GENE-030131-3149|-030131-3149
sa35452|ZDB-GENE-050417-398|-050417-398
sa35459|ZDB-GENE-090313-276|-090313-276
sa35476|ZDB-GENE-090313-71|-090313-71
sa35485|ZDB-GENE-050506-61|-050506-61
sa35490|ZDB-GENE-040801-40|-040801-40
sa35495|ZDB-GENE-040426-1045|-040426-1045
sa35500|ZDB-GENE-090312-185|-090312-185
sa35504|ZDB-GENE-030131-1961|-030131-1961
sa35514|ZDB-GENE-070424-88|-070424-88
sa35515|ZDB-GENE-030131-3573|-030131-3573
sa35516|ZDB-GENE-030318-1|-030318-1
sa35525|ZDB-GENE-090313-90|-090313-90
sa35528|ZDB-GENE-991102-15|-991102-15
sa35532|ZDB-GENE-060810-148|-060810-148
sa35536|ZDB-GENE-030131-9833|-030131-9833
sa35543|ZDB-GENE-070424-241|-070424-241
sa35548|ZDB-GENE-020708-2|-020708-2
sa35551|ZDB-GENE-081113-5|-081113-5
sa35555|ZDB-GENE-081218-1|-081218-1
sa35556|ZDB-GENE-060427-2|-060427-2
sa35583|ZDB-GENE-040426-2937|-040426-2937
sa35588|ZDB-GENE-040806-3|-040806-3
sa35591|ZDB-GENE-040426-1129|-040426-1129
sa35593|ZDB-GENE-061103-70|-061103-70
sa35599|ZDB-GENE-050302-58|-050302-58
sa35605|ZDB-GENE-071020-1|-071020-1
sa35614|ZDB-GENE-050522-2|-050522-2
sa35623|ZDB-GENE-080724-4|-080724-4
sa35633|ZDB-GENE-110512-1|-110512-1
sa35643|ZDB-GENE-030912-11|-030912-11
sa35646|ZDB-GENE-061110-106|-061110-106
sa35660|ZDB-GENE-041008-246|-041008-246
sa35666|ZDB-GENE-060503-724|-060503-724
sa35675|ZDB-GENE-980526-326|-980526-326
sa35691|ZDB-GENE-010306-4|-010306-4
sa35697|ZDB-GENE-091019-1|-091019-1
sa35720|ZDB-GENE-070412-1|-070412-1
sa35729|ZDB-GENE-030114-1|-030114-1
sa35730|ZDB-GENE-070922-1|-070922-1
sa35732|ZDB-GENE-041114-18|-041114-18
sa35733|ZDB-GENE-040426-2311|-040426-2311
sa35739|ZDB-GENE-070928-7|-070928-7
sa35740|ZDB-GENE-041212-75|-041212-75
sa35742|ZDB-GENE-030131-4218|-030131-4218
sa35743|ZDB-GENE-030131-4218|-030131-4218
sa35756|ZDB-GENE-080327-6|-080327-6
sa35775|ZDB-GENE-131120-89|-131120-89
sa35776|ZDB-GENE-131120-89|-131120-89
sa35778|ZDB-GENE-131120-149|-131120-149
sa35780|ZDB-GENE-131120-194|-131120-194
sa35791|ZDB-GENE-070112-1072|-070112-1072
sa35793|ZDB-GENE-131125-81|-131125-81
sa35794|ZDB-GENE-131125-81|-131125-81
sa35799|ZDB-GENE-070424-84|-070424-84
sa35805|ZDB-GENE-041111-120|-041111-120
sa35808|ZDB-GENE-040809-1|-040809-1
sa35810|ZDB-GENE-120516-2|-120516-2
sa35815|ZDB-GENE-070501-3|-070501-3
sa35816|ZDB-GENE-041010-4|-041010-4
sa35820|ZDB-GENE-060503-897|-060503-897
sa35825|ZDB-GENE-060503-104|-060503-104
sa35833|ZDB-GENE-060929-508|-060929-508
sa35842|ZDB-GENE-110419-5|-110419-5
sa35843|ZDB-GENE-060929-688|-060929-688
sa35855|ZDB-GENE-010822-2|-010822-2
sa35863|ZDB-GENE-030131-3529|-030131-3529
sa35871|ZDB-GENE-131118-22|-131118-22
sa35875|ZDB-GENE-071012-1|-071012-1
sa35878|ZDB-GENE-110411-146|-110411-146
sa35881|ZDB-GENE-080521-3|-080521-3
sa35884|ZDB-GENE-060929-772|-060929-772
sa35894|ZDB-GENE-030131-3389|-030131-3389
sa35906|ZDB-GENE-030131-5206|-030131-5206
sa35922|ZDB-GENE-010308-19|-010308-19
sa35926|ZDB-GENE-131127-243|-131127-243
sa35933|ZDB-GENE-120410-3|-120410-3
sa35934|ZDB-GENE-120410-3|-120410-3
sa35940|ZDB-GENE-070410-101|-070410-101
sa35943|ZDB-GENE-091217-2|-091217-2
sa35946|ZDB-GENE-050506-146|-050506-146
sa35954|ZDB-GENE-040426-2207|-040426-2207
sa35957|ZDB-GENE-010501-5|-010501-5
sa35963|ZDB-GENE-030131-872|-030131-872
sa35965|ZDB-GENE-101001-1|-101001-1
sa35974|ZDB-GENE-001019-1|-001019-1
sa35976|ZDB-GENE-001019-1|-001019-1
sa35981|ZDB-GENE-070912-457|-070912-457
sa35982|ZDB-GENE-121214-77|-121214-77
sa35989|ZDB-GENE-050419-209|-050419-209
sa35990|ZDB-GENE-050420-181|-050420-181
sa35994|ZDB-GENE-121214-346|-121214-346
sa36003|ZDB-GENE-030131-199|-030131-199
sa36007|ZDB-GENE-120215-259|-120215-259
sa36008|ZDB-GENE-040426-1443|-040426-1443
sa36009|ZDB-GENE-120709-60|-120709-60
sa36011|ZDB-GENE-110719-1|-110719-1
sa36013|ZDB-GENE-131127-362|-131127-362
sa36026|ZDB-GENE-060126-7|-060126-7
sa36035|ZDB-GENE-041010-82|-041010-82
sa36038|ZDB-GENE-040801-149|-040801-149
sa36046|ZDB-GENE-110411-177|-110411-177
sa36050|ZDB-GENE-060810-185|-060810-185
sa36058|ZDB-GENE-040426-2584|-040426-2584
sa36060|ZDB-GENE-100922-51|-100922-51
sa36067|ZDB-GENE-061013-607|-061013-607
sa36068|ZDB-GENE-100922-274|-100922-274
sa36074|ZDB-GENE-030131-9889|-030131-9889
sa36077|ZDB-GENE-081022-203|-081022-203
sa36083|ZDB-GENE-100922-48|-100922-48
sa36086|ZDB-GENE-100922-180|-100922-180
sa36101|ZDB-GENE-030131-7662|-030131-7662
sa36106|ZDB-GENE-131121-87|-131121-87
sa36117|ZDB-GENE-040718-153|-040718-153
sa36118|ZDB-GENE-100921-47|-100921-47
sa36120|ZDB-GENE-980526-368|-980526-368
sa36129|ZDB-GENE-050208-286|-050208-286
sa36148|ZDB-GENE-090730-1|-090730-1
sa36151|ZDB-GENE-030130-1|-030130-1
sa36160|ZDB-GENE-030131-717|-030131-717
sa36165|ZDB-GENE-070820-16|-070820-16
sa36167|ZDB-GENE-070117-2447|-070117-2447
sa36173|ZDB-GENE-020114-1|-020114-1
sa36176|ZDB-GENE-091230-7|-091230-7
sa36180|ZDB-GENE-030519-1|-030519-1
sa36188|ZDB-GENE-030131-7489|-030131-7489
sa36194|ZDB-GENE-100211-2|-100211-2
sa36195|ZDB-GENE-050309-65|-050309-65
sa36196|ZDB-GENE-050309-65|-050309-65
sa36199|ZDB-GENE-040426-2317|-040426-2317
sa36207|ZDB-GENE-041111-303|-041111-303
sa36211|ZDB-GENE-030131-8941|-030131-8941
sa36223|ZDB-GENE-100922-84|-100922-84
sa36239|ZDB-GENE-060825-188|-060825-188
sa36240|ZDB-GENE-060130-4|-060130-4
sa36242|ZDB-GENE-040426-1656|-040426-1656
sa36257|ZDB-GENE-050211-3|-050211-3
sa36262|ZDB-GENE-131127-588|-131127-588
sa36264|ZDB-GENE-030131-6559|-030131-6559
sa36267|ZDB-GENE-060502-1|-060502-1
sa36272|ZDB-GENE-090901-1|-090901-1
sa36282|ZDB-GENE-040426-2626|-040426-2626
sa36284|ZDB-GENE-131121-361|-131121-361
sa36289|ZDB-GENE-120709-81|-120709-81
sa36295|ZDB-GENE-120711-1|-120711-1
sa36298|ZDB-GENE-080207-1|-080207-1
sa36304|ZDB-GENE-110303-1|-110303-1
sa36314|ZDB-GENE-081028-38|-081028-38
sa36318|ZDB-GENE-071218-4|-071218-4
sa36319|ZDB-GENE-071218-4|-071218-4
sa36325|ZDB-GENE-070122-1|-070122-1
sa36326|ZDB-GENE-070122-1|-070122-1
sa36327|ZDB-GENE-120207-2|-120207-2
sa36335|ZDB-GENE-030131-41|-030131-41
sa36342|ZDB-GENE-131119-92|-131119-92
sa36352|ZDB-GENE-100618-4|-100618-4
sa36354|ZDB-GENE-030131-9805|-030131-9805
sa36378|ZDB-GENE-131127-498|-131127-498
sa36385|ZDB-GENE-060621-1|-060621-1
sa36386|ZDB-GENE-060621-1|-060621-1
sa36398|ZDB-GENE-091202-7|-091202-7
sa36402|ZDB-GENE-041111-213|-041111-213
sa36406|ZDB-GENE-110310-2|-110310-2
sa36414|ZDB-GENE-021231-3|-021231-3
sa36420|ZDB-GENE-041008-100|-041008-100
sa36424|ZDB-GENE-131121-492|-131121-492
sa36427|ZDB-GENE-070410-45|-070410-45
sa36431|ZDB-GENE-050809-113|-050809-113
sa36436|ZDB-GENE-030616-153|-030616-153
sa36438|ZDB-GENE-030616-153|-030616-153
sa36449|ZDB-GENE-070702-4|-070702-4
sa36450|ZDB-GENE-070702-4|-070702-4
sa36456|ZDB-GENE-030616-116|-030616-116
sa36462|ZDB-GENE-041111-205|-041111-205
sa36471|ZDB-GENE-050314-3|-050314-3
sa36475|ZDB-GENE-080709-4|-080709-4
sa36480|ZDB-GENE-110411-280|-110411-280
sa36486|ZDB-GENE-080215-21|-080215-21
sa36491|ZDB-GENE-130530-880|-130530-880
sa36494|ZDB-GENE-131126-72|-131126-72
sa36496|ZDB-GENE-030131-2412|-030131-2412
sa36498|ZDB-GENE-131120-153|-131120-153
sa36504|ZDB-GENE-040718-360|-040718-360
sa36506|ZDB-GENE-120928-2|-120928-2
sa36508|ZDB-GENE-120928-2|-120928-2
sa36511|ZDB-GENE-040912-97|-040912-97
sa36518|ZDB-GENE-100716-6|-100716-6
sa36522|ZDB-GENE-061027-130|-061027-130
sa36526|ZDB-GENE-030219-98|-030219-98
sa36536|ZDB-GENE-131120-95|-131120-95
sa36543|ZDB-GENE-131127-65|-131127-65
sa36571|ZDB-GENE-050320-118|-050320-118
sa36572|ZDB-GENE-040704-45|-040704-45
sa36580|ZDB-GENE-060503-162|-060503-162
sa36586|ZDB-GENE-081031-9|-081031-9
sa36587|ZDB-GENE-050420-347|-050420-347
sa36591|ZDB-GENE-030131-8805|-030131-8805
sa36595|ZDB-GENE-040426-2466|-040426-2466
sa36601|ZDB-GENE-061207-46|-061207-46
sa36602|ZDB-GENE-030131-6435|-030131-6435
sa36611|ZDB-GENE-040625-71|-040625-71
sa36612|ZDB-GENE-030131-5929|-030131-5929
sa36618|ZDB-GENE-050419-238|-050419-238
sa36625|ZDB-GENE-060503-191|-060503-191
sa36627|ZDB-GENE-041114-53|-041114-53
sa36630|ZDB-GENE-050420-101|-050420-101
sa36631|ZDB-GENE-050420-101|-050420-101
sa36659|ZDB-GENE-050419-226|-050419-226
sa36661|ZDB-GENE-050419-182|-050419-182
sa36684|ZDB-GENE-050419-221|-050419-221
sa36687|ZDB-GENE-060503-264|-060503-264
sa36695|ZDB-GENE-030131-8906|-030131-8906
sa36701|ZDB-GENE-050208-140|-050208-140
sa36706|ZDB-GENE-050420-7|-050420-7
sa36710|ZDB-GENE-061215-110|-061215-110
sa36711|ZDB-GENE-050419-26|-050419-26
sa36712|ZDB-GENE-081031-12|-081031-12
sa36720|ZDB-GENE-021115-4|-021115-4
sa36723|ZDB-GENE-061207-59|-061207-59
sa36724|ZDB-GENE-040426-1623|-040426-1623
sa36728|ZDB-GENE-030131-5790|-030131-5790
sa36730|ZDB-GENE-030131-5790|-030131-5790
sa36732|ZDB-GENE-081120-4|-081120-4
sa36734|ZDB-GENE-041114-16|-041114-16
sa36738|ZDB-GENE-040718-38|-040718-38
sa36743|ZDB-GENE-060616-38|-060616-38
sa36764|ZDB-GENE-060321-2|-060321-2
sa36779|ZDB-GENE-060503-244|-060503-244
sa36780|ZDB-GENE-060503-244|-060503-244
sa36784|ZDB-GENE-060503-376|-060503-376
sa36795|ZDB-GENE-030826-16|-030826-16
sa36797|ZDB-GENE-040720-1|-040720-1
sa36798|ZDB-GENE-040709-2|-040709-2
sa36801|ZDB-GENE-081029-2|-081029-2
sa36805|ZDB-GENE-060503-776|-060503-776
sa36811|ZDB-GENE-030131-6124|-030131-6124
sa36814|ZDB-GENE-030131-8227|-030131-8227
sa36821|ZDB-GENE-040912-77|-040912-77
sa36823|ZDB-GENE-000308-1|-000308-1
sa36830|ZDB-GENE-030131-8984|-030131-8984
sa36831|ZDB-GENE-050208-283|-050208-283
sa36832|ZDB-GENE-050208-283|-050208-283
sa36841|ZDB-GENE-110106-1|-110106-1
sa36845|ZDB-GENE-060503-246|-060503-246
sa36851|ZDB-GENE-060503-5|-060503-5
sa36854|ZDB-GENE-060503-858|-060503-858
sa36859|ZDB-GENE-040426-1097|-040426-1097
sa36862|ZDB-GENE-040801-125|-040801-125
sa36874|ZDB-GENE-060503-507|-060503-507
