zdbid,ftr,ftrnote,ftrstring
ZDB-ALT-130715-2,ks1,8/13/2020,8/13/2020
ZDB-ALT-050713-2,kt259,8/13/2020,8/13/2020
ZDB-ALT-050713-4,kt293,8/13/2020,8/13/2020
ZDB-ALT-050713-8,kt451,8/13/2020,8/13/2020
ZDB-ALT-171018-3,jt1,8/14/2020,8/14/2020
ZDB-ALT-170112-2,ka90,8/14/2020,8/14/2020
ZDB-ALT-010801-2,kca1,8/14/2020,8/14/2020
ZDB-ALT-090423-1,ko157,8/14/2020,8/14/2020
ZDB-ALT-080812-3,j9e2,8/17/2020,8/17/2020
ZDB-ALT-070427-12,jj290,8/17/2020,8/17/2020
ZDB-ALT-070427-3,jj386,8/17/2020,8/17/2020
ZDB-ALT-140522-1,i278,8/19/2020,8/19/2020
ZDB-ALT-160707-12,i283,8/19/2020,8/19/2020
ZDB-ALT-150730-1,i291,8/19/2020,8/19/2020
ZDB-ALT-150730-2,i292,8/19/2020,8/19/2020
ZDB-ALT-160119-6,icm02,8/19/2020,8/19/2020
ZDB-ALT-080108-1,ift88_unspecified,8/19/2020,8/19/2020
ZDB-ALT-160707-14,imb1,8/19/2020,8/19/2020
ZDB-ALT-090520-12,it275,8/19/2020,8/19/2020
ZDB-ALT-090520-9,it567,8/19/2020,8/19/2020
ZDB-ALT-160314-4,it627,8/19/2020,8/19/2020
ZDB-ALT-090520-10,it840,8/19/2020,8/19/2020
ZDB-ALT-090520-11,it864,8/19/2020,8/19/2020
ZDB-ALT-020731-26,j108e1,8/19/2020,8/19/2020
ZDB-ALT-180625-5,cl602,8/21/2020,8/21/2020
ZDB-ALT-180625-6,cl603,8/21/2020,8/21/2020
ZDB-ALT-181105-6,cpu2,8/21/2020,8/21/2020
ZDB-ALT-170509-5,ct839,8/21/2020,8/21/2020
ZDB-ALT-090408-1,ctd_unspecified,8/24/2020,8/24/2020
ZDB-ALT-040213-10,cz226,8/24/2020,8/24/2020
ZDB-ALT-081009-2,dg3,8/24/2020,8/24/2020
ZDB-ALT-130118-1,dhu423,8/24/2020,8/24/2020
ZDB-ALT-180320-1,dmh1,8/25/2020,8/25/2020
ZDB-ALT-180320-2,dmh11,8/25/2020,8/25/2020
ZDB-ALT-180319-16,dmh13,8/25/2020,8/25/2020
ZDB-ALT-180319-15,dmh14,8/25/2020,8/25/2020
ZDB-ALT-180319-18,dmh15,8/25/2020,8/25/2020
ZDB-ALT-180319-23,dmh16,8/25/2020,8/25/2020
ZDB-ALT-180319-33,dmh18,8/25/2020,8/25/2020
ZDB-ALT-180319-32,dmh19,8/25/2020,8/25/2020
ZDB-ALT-180319-27,dmh20,8/25/2020,8/25/2020
ZDB-ALT-180319-21,dmh21,8/25/2020,8/25/2020
ZDB-ALT-180319-34,dmh22,8/25/2020,8/25/2020
ZDB-ALT-180319-19,dmh27,8/25/2020,8/25/2020
ZDB-ALT-180319-20,dmh28,8/25/2020,8/25/2020
ZDB-ALT-180319-17,dmh29,8/25/2020,8/25/2020
ZDB-ALT-180319-31,dmh3,8/25/2020,8/25/2020
ZDB-ALT-180320-4,dmh30,8/25/2020,8/25/2020
ZDB-ALT-180319-24,dmh31,8/25/2020,8/25/2020
ZDB-ALT-180319-28,dmh32,8/25/2020,8/25/2020
ZDB-ALT-180319-29,dmh33,8/25/2020,8/25/2020
ZDB-ALT-180319-30,dmh34,8/25/2020,8/25/2020
ZDB-ALT-180319-26,dmh35,8/25/2020,8/25/2020
ZDB-ALT-180319-25,dmh4,8/25/2020,8/25/2020
ZDB-ALT-180319-36,dmh7,8/25/2020,8/25/2020
ZDB-ALT-180319-35,dmh8,8/25/2020,8/25/2020
ZDB-ALT-180319-37,dmh9,8/25/2020,8/25/2020
ZDB-ALT-090408-2,doc_unspecified,8/26/2020,8/26/2020
ZDB-ALT-980203-690,m683,8/3/2020,8/3/2020
ZDB-ALT-031125-2,m841,8/3/2020,8/3/2020
ZDB-ALT-980203-518,m190,8/4/2020,8/4/2020
ZDB-ALT-980203-579,m632,8/4/2020,8/4/2020
ZDB-ALT-080327-152,lama1_unspecified,8/5/2020,8/5/2020
ZDB-ALT-080327-151,lamb1a_unspecified,8/5/2020,8/5/2020
ZDB-ALT-100210-1,m1147,8/5/2020,8/5/2020
ZDB-ALT-100210-2,m1158,8/5/2020,8/5/2020
ZDB-ALT-100210-3,m1159,8/5/2020,8/5/2020
ZDB-ALT-100210-4,m1160,8/5/2020,8/5/2020
ZDB-ALT-100210-5,m1161,8/5/2020,8/5/2020
ZDB-ALT-100210-6,m1162,8/5/2020,8/5/2020
ZDB-ALT-100210-8,m1164,8/5/2020,8/5/2020
ZDB-ALT-100210-9,m1165,8/5/2020,8/5/2020
ZDB-ALT-100210-10,m1166,8/5/2020,8/5/2020
ZDB-ALT-100210-11,m1167,8/5/2020,8/5/2020
ZDB-ALT-100210-12,m1168,8/5/2020,8/5/2020
ZDB-ALT-100210-13,m1169,8/5/2020,8/5/2020
ZDB-ALT-100210-7,m1173,8/5/2020,8/5/2020
ZDB-ALT-070808-1,m118,8/5/2020,8/5/2020
ZDB-ALT-100210-14,m1187,8/5/2020,8/5/2020
ZDB-ALT-100210-15,m1188,8/5/2020,8/5/2020
ZDB-ALT-100210-16,m1189,8/5/2020,8/5/2020
ZDB-ALT-100210-17,m1190,8/5/2020,8/5/2020
ZDB-ALT-100210-18,m1191,8/5/2020,8/5/2020
ZDB-ALT-100210-19,m1192,8/5/2020,8/5/2020
ZDB-ALT-100210-20,m1193,8/5/2020,8/5/2020
ZDB-ALT-100210-21,m1194,8/5/2020,8/5/2020
ZDB-ALT-100210-22,m1195,8/5/2020,8/5/2020
ZDB-ALT-100210-23,m1196,8/5/2020,8/5/2020
ZDB-ALT-100210-24,m1197,8/5/2020,8/5/2020
ZDB-ALT-100210-25,m1198,8/5/2020,8/5/2020
ZDB-ALT-100210-26,m1199,8/5/2020,8/5/2020
ZDB-ALT-100210-27,m1200,8/5/2020,8/5/2020
ZDB-ALT-100210-28,m1201,8/5/2020,8/5/2020
ZDB-ALT-100210-29,m1202,8/5/2020,8/5/2020
ZDB-ALT-100210-30,m1203,8/5/2020,8/5/2020
ZDB-ALT-100210-31,m1204,8/5/2020,8/5/2020
ZDB-ALT-980203-469,m134,8/5/2020,8/5/2020
ZDB-ALT-980203-510,m178,8/5/2020,8/5/2020
ZDB-ALT-071219-1,kt641,8/7/2020,8/7/2020
ZDB-ALT-140123-32,l05,8/7/2020,8/7/2020
ZDB-ALT-090428-1,la1164,8/7/2020,8/7/2020
ZDB-ALT-111020-3,la1908,8/7/2020,8/7/2020
ZDB-ALT-110804-1,la961,8/7/2020,8/7/2020
ZDB-ALT-100722-1,hg2,9/10/2020,9/10/2020
ZDB-ALT-160622-1,hg29,9/10/2020,9/10/2020
ZDB-ALT-100730-2,hg5,9/10/2020,9/10/2020
ZDB-ALT-140522-3,hu10320,9/10/2020,9/10/2020
ZDB-ALT-140522-2,hu10330,9/10/2020,9/10/2020
ZDB-ALT-170620-10,hu10963,9/10/2020,9/10/2020
ZDB-ALT-080124-2,hu2410,9/11/2020,9/11/2020
ZDB-ALT-170608-20,hu2790,9/11/2020,9/11/2020
ZDB-ALT-070927-4,hu2966,9/11/2020,9/11/2020
ZDB-ALT-110113-4,hu3238,9/11/2020,9/11/2020
ZDB-ALT-070322-3,hu3280,9/11/2020,9/11/2020
ZDB-ALT-110511-1,hu5088,9/11/2020,9/11/2020
ZDB-ALT-180517-3,hza51,9/11/2020,9/11/2020
ZDB-ALT-090827-1,j131,9/14/2020,9/14/2020
ZDB-ALT-110728-2,s380,9/14/2020,9/14/2020
ZDB-ALT-140130-19,au13,9/15/2020,9/15/2020
ZDB-ALT-140130-20,au16,9/15/2020,9/15/2020
ZDB-ALT-140130-21,au17,9/15/2020,9/15/2020
ZDB-ALT-140130-23,au19,9/15/2020,9/15/2020
ZDB-ALT-140130-10,au2,9/15/2020,9/15/2020
ZDB-ALT-140130-24,au20,9/15/2020,9/15/2020
ZDB-ALT-140130-25,au21,9/15/2020,9/15/2020
ZDB-ALT-140130-26,au22,9/15/2020,9/15/2020
ZDB-ALT-140130-11,au3,9/15/2020,9/15/2020
ZDB-ALT-140130-12,au4,9/15/2020,9/15/2020
ZDB-ALT-140130-14,au6,9/15/2020,9/15/2020
ZDB-ALT-140130-15,au7,9/15/2020,9/15/2020
ZDB-ALT-140130-16,au8,9/15/2020,9/15/2020
ZDB-ALT-140130-17,au9,9/15/2020,9/15/2020
ZDB-ALT-070306-2,b1006,9/15/2020,9/15/2020
ZDB-ALT-070306-10,b1035,9/15/2020,9/15/2020
ZDB-ALT-070306-11,b1037,9/15/2020,9/15/2020
ZDB-ALT-070306-12,b1039,9/15/2020,9/15/2020
ZDB-ALT-100526-5,b1048,9/15/2020,9/15/2020
ZDB-ALT-141222-1,b1071,9/15/2020,9/15/2020
ZDB-ALT-070306-13,b1074,9/15/2020,9/15/2020
ZDB-ALT-980203-593,b109,9/15/2020,9/15/2020
ZDB-ALT-111206-1,b1100,9/15/2020,9/15/2020
ZDB-ALT-070306-4,b1112,9/15/2020,9/15/2020
ZDB-ALT-070306-5,b1115,9/15/2020,9/15/2020
ZDB-ALT-111118-31,b1149,9/15/2020,9/15/2020
ZDB-ALT-080318-5,b1166,9/15/2020,9/15/2020
ZDB-ALT-111118-29,b1172,9/15/2020,9/15/2020
ZDB-ALT-080318-2,b1182,9/15/2020,9/15/2020
ZDB-ALT-980203-332,b18,9/15/2020,9/15/2020
ZDB-ALT-991208-40,b305,9/15/2020,9/15/2020
ZDB-ALT-991208-35,b386,9/15/2020,9/15/2020
ZDB-ALT-990427-7,b420,9/15/2020,9/15/2020
ZDB-ALT-090205-2,b487,9/15/2020,9/15/2020
ZDB-ALT-090904-1,b765,9/15/2020,9/15/2020
ZDB-ALT-070306-6,b875,9/15/2020,9/15/2020
ZDB-ALT-070306-7,b896,9/15/2020,9/15/2020
ZDB-ALT-070306-8,b953,9/15/2020,9/15/2020
ZDB-ALT-070306-9,b984,9/15/2020,9/15/2020
ZDB-ALT-070228-1,be1324,9/15/2020,9/15/2020
ZDB-ALT-170907-2,bns110,9/15/2020,9/15/2020
ZDB-ALT-061101-112,bns31131,9/15/2020,9/15/2020
ZDB-ALT-070927-2,bw306,9/15/2020,9/15/2020
ZDB-ALT-110906-2,bw41c,9/15/2020,9/15/2020
ZDB-ALT-180126-1,cas009,9/15/2020,9/15/2020
ZDB-ALT-080108-2,ccdc103_unspecified,9/15/2020,9/15/2020
ZDB-ALT-001127-8,cz11,9/15/2020,9/15/2020
ZDB-ALT-090203-1,cz22,9/15/2020,9/15/2020
ZDB-ALT-001127-12,cz3,9/15/2020,9/15/2020
ZDB-ALT-090714-1,cz4,9/15/2020,9/15/2020
ZDB-ALT-001127-10,cz5,9/15/2020,9/15/2020
ZDB-ALT-120222-2,dia9,9/15/2020,9/15/2020
ZDB-ALT-090910-3,dne3256,9/15/2020,9/15/2020
ZDB-ALT-180117-3,dp197,9/15/2020,9/15/2020
ZDB-ALT-090504-2,dz101,9/15/2020,9/15/2020
ZDB-ALT-090504-6,dz102,9/15/2020,9/15/2020
ZDB-ALT-170303-4,el491,9/15/2020,9/15/2020
ZDB-ALT-171010-6,el520,9/15/2020,9/15/2020
ZDB-ALT-171010-8,el586,9/15/2020,9/15/2020
ZDB-ALT-171010-14,el593,9/15/2020,9/15/2020
ZDB-ALT-171010-15,el595,9/15/2020,9/15/2020
ZDB-ALT-171010-9,el624,9/15/2020,9/15/2020
ZDB-ALT-171010-11,el633,9/15/2020,9/15/2020
ZDB-ALT-171010-12,el639,9/15/2020,9/15/2020
ZDB-ALT-171010-5,el654,9/15/2020,9/15/2020
ZDB-ALT-171010-13,el667,9/15/2020,9/15/2020
ZDB-ALT-171010-10,el675,9/15/2020,9/15/2020
ZDB-ALT-171010-4,el679,9/15/2020,9/15/2020
ZDB-ALT-171010-7,el689,9/15/2020,9/15/2020
ZDB-ALT-080123-1,fh221,9/15/2020,9/15/2020
ZDB-ALT-150720-1,fh364,9/15/2020,9/15/2020
ZDB-ALT-180828-3,fh367,9/15/2020,9/15/2020
ZDB-ALT-150707-5,gi1,9/15/2020,9/15/2020
ZDB-ALT-100813-3,hu202,9/15/2020,9/15/2020
ZDB-ALT-090611-5,hu2184,9/15/2020,9/15/2020
ZDB-ALT-081104-3,hu2485,9/15/2020,9/15/2020
ZDB-ALT-100813-2,hu304,9/15/2020,9/15/2020
ZDB-ALT-110906-3,hu3259,9/15/2020,9/15/2020
ZDB-ALT-120314-1,hu3510,9/15/2020,9/15/2020
ZDB-ALT-100317-5,hu3691,9/15/2020,9/15/2020
ZDB-ALT-160707-13,hu4145,9/15/2020,9/15/2020
ZDB-ALT-060825-34,hu418b,9/15/2020,9/15/2020
ZDB-ALT-060825-36,hu540a,9/15/2020,9/15/2020
ZDB-ALT-010427-8,tbx392,9/15/2020,9/15/2020
ZDB-ALT-980203-1815,tm117c,9/15/2020,9/15/2020
ZDB-ALT-131101-2,tnr52,9/15/2020,9/15/2020
ZDB-ALT-190410-4,tpl119,9/15/2020,9/15/2020
ZDB-ALT-190410-5,tpl120,9/15/2020,9/15/2020
ZDB-ALT-090416-3,rw76b,9/16/2020,9/16/2020
ZDB-ALT-121019-1,p22atuz,9/16/2020,9/16/2020
ZDB-ALT-120126-1,c163,9/16/2020,9/16/2020
ZDB-ALT-030922-4,hu896,9/16/2020,9/16/2020
ZDB-ALT-160425-5,y72,9/16/2020,9/16/2020
ZDB-ALT-160707-9,ya1955,9/16/2020,9/16/2020
ZDB-ALT-170616-6,ya302,9/16/2020,9/16/2020
ZDB-ALT-181015-2,ya340,9/16/2020,9/16/2020
ZDB-ALT-181015-3,ya341,9/16/2020,9/16/2020
ZDB-ALT-181015-4,ya342,9/16/2020,9/16/2020
ZDB-ALT-190228-3,ya343,9/16/2020,9/16/2020
ZDB-ALT-001214-2,z1,9/16/2020,9/16/2020
ZDB-ALT-090504-7,z103,9/16/2020,9/16/2020
ZDB-ALT-121211-2,zd11,9/16/2020,9/16/2020
ZDB-ALT-050428-8,zdf2,9/16/2020,9/16/2020
ZDB-ALT-180315-1,zf1026,9/16/2020,9/16/2020
ZDB-ALT-180816-23,zf1088,9/16/2020,9/16/2020
ZDB-ALT-090205-4,zf119,9/16/2020,9/16/2020
ZDB-ALT-090211-1,zf120,9/16/2020,9/16/2020
ZDB-ALT-090211-2,zf121,9/16/2020,9/16/2020
ZDB-ALT-090211-3,zf122,9/16/2020,9/16/2020
ZDB-ALT-090211-4,zf123,9/16/2020,9/16/2020
ZDB-ALT-090211-5,zf124,9/16/2020,9/16/2020
ZDB-ALT-090211-6,zf125,9/16/2020,9/16/2020
ZDB-ALT-090211-7,zf126,9/16/2020,9/16/2020
ZDB-ALT-090211-8,zf127,9/16/2020,9/16/2020
ZDB-ALT-090515-1,zf134,9/16/2020,9/16/2020
ZDB-ALT-181217-12,zf2015,9/16/2020,9/16/2020
ZDB-ALT-181218-21,zf2016,9/16/2020,9/16/2020
ZDB-ALT-110509-1,zf232,9/16/2020,9/16/2020
ZDB-ALT-111207-10,zf249,9/16/2020,9/16/2020
ZDB-ALT-140116-6,zf438,9/16/2020,9/16/2020
ZDB-ALT-140116-7,zf439,9/16/2020,9/16/2020
ZDB-ALT-140116-8,zf440,9/16/2020,9/16/2020
ZDB-ALT-140204-2,zf450,9/16/2020,9/16/2020
ZDB-ALT-140204-3,zf451,9/16/2020,9/16/2020
ZDB-ALT-140204-4,zf452,9/16/2020,9/16/2020
ZDB-ALT-150909-1,zf548,9/16/2020,9/16/2020
ZDB-ALT-071217-2,zf55,9/16/2020,9/16/2020
ZDB-ALT-071219-2,zf56,9/16/2020,9/16/2020
ZDB-ALT-071219-3,zf57,9/16/2020,9/16/2020
ZDB-ALT-160113-2,zf591,9/16/2020,9/16/2020
ZDB-ALT-071219-6,zf60,9/16/2020,9/16/2020
ZDB-ALT-071219-7,zf61,9/16/2020,9/16/2020
ZDB-ALT-160818-6,zf627,9/16/2020,9/16/2020
ZDB-ALT-160818-7,zf628,9/16/2020,9/16/2020
ZDB-ALT-160818-8,zf629,9/16/2020,9/16/2020
ZDB-ALT-160818-9,zf630,9/16/2020,9/16/2020
ZDB-ALT-160818-10,zf631,9/16/2020,9/16/2020
ZDB-ALT-160818-11,zf632,9/16/2020,9/16/2020
ZDB-ALT-160818-12,zf633,9/16/2020,9/16/2020
ZDB-ALT-160818-13,zf634,9/16/2020,9/16/2020
ZDB-ALT-160818-14,zf635,9/16/2020,9/16/2020
ZDB-ALT-160818-15,zf636,9/16/2020,9/16/2020
ZDB-ALT-071219-13,zf67,9/16/2020,9/16/2020
ZDB-ALT-071219-14,zf68,9/16/2020,9/16/2020
ZDB-ALT-180103-8,zf754,9/16/2020,9/16/2020
ZDB-ALT-180103-15,zf761,9/16/2020,9/16/2020
ZDB-ALT-120820-1,vu56,9/16/2020,9/16/2020
ZDB-ALT-150507-3,el517,9/3/2020,9/3/2020
ZDB-ALT-170303-3,el558,9/3/2020,9/3/2020
ZDB-ALT-071212-2,f40a,9/3/2020,9/3/2020
ZDB-ALT-160901-15,fh378,9/3/2020,9/3/2020
ZDB-ALT-160825-6,fh448,9/4/2020,9/4/2020
ZDB-ALT-160825-7,fh449,9/4/2020,9/4/2020
ZDB-ALT-180530-12,fh473,9/4/2020,9/4/2020
ZDB-ALT-180416-2,fh509,9/4/2020,9/4/2020
ZDB-ALT-110127-1,fr15,9/4/2020,9/4/2020
ZDB-ALT-110127-2,fr16,9/4/2020,9/4/2020
ZDB-ALT-011017-16,ft09e,9/8/2020,9/8/2020
ZDB-ALT-081110-1,fv087b,9/8/2020,9/8/2020
ZDB-ALT-170815-4,gi2,9/9/2020,9/9/2020
ZDB-ALT-980203-517,m189,9/9/2020,9/9/2020
ZDB-ALT-101123-1,vo66,9/9/2020,9/9/2020
ZDB-ALT-150127-1,u754,9/9/2020,9/9/2020
ZDB-ALT-150127-2,u763,9/9/2020,9/9/2020
ZDB-ALT-090609-3,tzhe067,9/9/2020,9/9/2020
ZDB-ALT-090609-2,tzit029,9/9/2020,9/9/2020
ZDB-ALT-110104-3,t22406,9/9/2020,9/9/2020
ZDB-ALT-071006-1,s290,9/9/2020,9/9/2020
ZDB-ALT-030804-4,t21588,9/9/2020,9/9/2020
ZDB-ALT-980203-1403,tw38f,9/9/2020,9/9/2020
ZDB-ALT-180314-4,tWGU2,9/9/2020,9/9/2020
ZDB-ALT-151209-3,twl1,9/9/2020,9/9/2020
ZDB-ALT-161103-9,mi1008,9/9/2020,9/9/2020
ZDB-ALT-980203-1828,ti1,9/9/2020,9/9/2020
ZDB-ALT-080609-1,t24412,9/9/2020,9/9/2020
ZDB-ALT-150723-15,muz107,9/9/2020,9/9/2020
ZDB-ALT-170227-1,la1110,9/9/2020,9/9/2020
ZDB-ALT-151015-2,zf560,9/9/2020,9/9/2020
